NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE
ISL2	NA	null	null	4.88703
ADAM23	NA	null	null	4.7653236
UBXN10	NA	null	null	4.212546
C16orf95	NA	null	null	4.2027392
TNFAIP8L2-SCNM1	NA	null	null	4.0976677
GDF10	NA	null	null	4.055094
GPR15	NA	null	null	4.0106096
EVL	NA	null	null	3.8304815
PPP1R14A	NA	null	null	3.8185158
LGALS1	NA	null	null	3.7995453
TWIST1	NA	null	null	3.7061791
LCAT	NA	null	null	3.5902095
RARRES2	NA	null	null	3.5053332
NCR3	NA	null	null	3.4879034
UGCG	NA	null	null	3.4625006
FAM124A	NA	null	null	3.4582167
EFCC1	NA	null	null	3.4279099
MMP17	NA	null	null	3.3687418
ENPP2	NA	null	null	3.2790172
ATP1B2	NA	null	null	3.2362773
HSPB6	NA	null	null	3.198577
CD38	NA	null	null	3.1283844
MYLK	NA	null	null	3.0904157
INMT	NA	null	null	3.0892196
CPNE2	NA	null	null	3.0879536
PCSK2	NA	null	null	3.070693
SYTL2	NA	null	null	3.0279992
FOXD2	NA	null	null	3.0204177
SYNPO2	NA	null	null	3.005019
ISG15	NA	null	null	2.9809108
KIAA1462	NA	null	null	2.901559
SP140L	NA	null	null	2.8752131
TNFRSF9	NA	null	null	2.770349
SCN3B	NA	null	null	2.763196
C9orf3	NA	null	null	2.7374387
SLC27A2	NA	null	null	2.706212
RERGL	NA	null	null	2.6997986
PHTF2	NA	null	null	2.6958742
KLHL30	NA	null	null	2.6743882
HIGD1B	NA	null	null	2.6241033
SPIN2A	NA	null	null	2.6037297
TTLL3	NA	null	null	2.5898716
COLGALT1	NA	null	null	2.5613232
NTS	NA	null	null	2.551465
HDGFRP3	NA	null	null	2.5271974
ARHGEF40	NA	null	null	2.50834
SSBP3	NA	null	null	2.4918995
SALL2	NA	null	null	2.489268
ANGPTL7	NA	null	null	2.4402626
TBC1D2B	NA	null	null	2.427331
SLC38A4	NA	null	null	2.4168146
TUBA1A	NA	null	null	2.4144783
SH2D1A	NA	null	null	2.4076788
STEAP1	NA	null	null	2.4014215
MID1	NA	null	null	2.389746
IL17D	NA	null	null	2.3803122
CDK15	NA	null	null	2.3765204
ST6GALNAC3	NA	null	null	2.3231277
PDE1A	NA	null	null	2.3059344
SRGAP2	NA	null	null	2.3029318
ZNF783	NA	null	null	2.2544112
RXRG	NA	null	null	2.2480938
FXYD1	NA	null	null	2.2477784
ADRA2A	NA	null	null	2.2441885
TSPAN2	NA	null	null	2.2337255
CDH6	NA	null	null	2.2297332
IL7R	NA	null	null	2.2197149
BST2	NA	null	null	2.21507
SMIM10	NA	null	null	2.211954
ERAP2	NA	null	null	2.194164
JAM2	NA	null	null	2.1742427
CST7	NA	null	null	2.152144
MERTK	NA	null	null	2.1209466
SDS	NA	null	null	2.1110907
C1orf123	NA	null	null	2.1098747
RFX2	NA	null	null	2.109125
PGM5	NA	null	null	2.1049874
CCM2	NA	null	null	2.1012287
GSTM5	NA	null	null	2.0869694
CXCL14	NA	null	null	2.0814645
NLGN4X	NA	null	null	2.0772152
TRMT112	NA	null	null	2.0763218
SP110	NA	null	null	2.0761032
S100A10	NA	null	null	2.0740914
PSMB9	NA	null	null	2.073986
TNFAIP2	NA	null	null	2.0603046
NAT14	NA	null	null	2.0539684
SLC22A3	NA	null	null	2.0511594
ACSS3	NA	null	null	2.0450838
FYB	NA	null	null	2.0434244
MYO1H	NA	null	null	2.0407684
EGFL6	NA	null	null	2.038287
DENND3	NA	null	null	2.0365338
SRI	NA	null	null	2.03435
