Gene ID,Pathway Name,Level 2,Level 1,Other Gene ID,log2(HN/FK),Qvalue(FK-vs-HN),Pvalue(FK-vs-HN)
100130733,ko04360//Axon guidance;ko04611//Platelet activation;ko04640//Hematopoietic cell lineage;ko04514//Cell adhesion molecules (CAMs);ko04512//ECM-receptor interaction,Development;Immune system;Signaling molecules and interaction,Environmental Information Processing;Organismal Systems,LRRC70,-2.29762039193375,0.0,0.0
100134938,ko04512//ECM-receptor interaction;ko04151//PI3K-Akt signaling pathway;ko04510//Focal adhesion;ko05222//Small cell lung cancer;ko05146//Amoebiasis;ko03018//RNA degradation;ko05165//Human papillomavirus infection;ko05145//Toxoplasmosis;ko04014//Ras signaling pathway;ko05200//Pathways in cancer,"Cancers: Overview;Signaling molecules and interaction;Cellular community - eukaryotes;Folding, sorting and degradation;Infectious diseases: Parasitic;Signal transduction;Cancers: Specific types;Infectious diseases: Viral",Cellular Processes;Genetic Information Processing;Human Diseases;Environmental Information Processing,UPK3BL,-2.06299972100815,0.0,0.0
1003,ko05418//Fluid shear stress and atherosclerosis;ko04514//Cell adhesion molecules (CAMs);ko04670//Leukocyte transendothelial migration,Cardiovascular diseases;Signaling molecules and interaction;Immune system,Human Diseases;Environmental Information Processing;Organismal Systems,CDH5,-2.3255479923673903,0.0,0.0
100506658,ko04530//Tight junction;ko04670//Leukocyte transendothelial migration;ko04514//Cell adhesion molecules (CAMs);ko05130//Pathogenic Escherichia coli infection;ko05160//Hepatitis C,Immune system;Infectious diseases: Bacterial;Cellular community - eukaryotes;Signaling molecules and interaction;Infectious diseases: Viral,Environmental Information Processing;Cellular Processes;Human Diseases;Organismal Systems,OCLN,3.1326284221669902,0.0,0.0
10398,ko04670//Leukocyte transendothelial migration;ko04022//cGMP-PKG signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04530//Tight junction;ko04510//Focal adhesion;ko04921//Oxytocin signaling pathway;ko04270//Vascular smooth muscle contraction;ko04024//cAMP signaling pathway,Immune system;Endocrine system;Signal transduction;Cellular community - eukaryotes;Cell motility;Circulatory system,Cellular Processes;Organismal Systems;Environmental Information Processing,MYL9,-3.43530130990437,0.0,0.0
10406,ko04610//Complement and coagulation cascades,Immune system,Organismal Systems,WFDC2,2.63928077593008,8.775300719178758e-75,2.33241994911679e-74
10411,ko04024//cAMP signaling pathway;ko04015//Rap1 signaling pathway;ko04726//Serotonergic synapse;ko04720//Long-term potentiation;ko04670//Leukocyte transendothelial migration;ko04261//Adrenergic signaling in cardiomyocytes;ko04072//Phospholipase D signaling pathway,Nervous system;Immune system;Signal transduction;Circulatory system,Environmental Information Processing;Organismal Systems,RAPGEF3,-2.19756589492349,0.0,0.0
10418,ko03018//RNA degradation;ko05205//Proteoglycans in cancer;ko04151//PI3K-Akt signaling pathway;ko05206//MicroRNAs in cancer;ko04510//Focal adhesion;ko05144//Malaria;ko04145//Phagosome;ko04970//Salivary secretion;ko04140//Autophagy - animal;ko04350//TGF-beta signaling pathway;ko04015//Rap1 signaling pathway;ko04115//p53 signaling pathway;ko04512//ECM-receptor interaction;ko05165//Human papillomavirus infection;ko04137//Mitophagy - animal;ko05219//Bladder cancer,"Cancers: Specific types;Cellular community - eukaryotes;Infectious diseases: Parasitic;Transport and catabolism;Cancers: Overview;Infectious diseases: Viral;Digestive system;Folding, sorting and degradation;Signal transduction;Signaling molecules and interaction;Cell growth and death",Genetic Information Processing;Cellular Processes;Environmental Information Processing;Organismal Systems;Human Diseases,SPON1,-2.27500004868021,0.0,0.0
10451,ko04660//T cell receptor signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04510//Focal adhesion;ko04650//Natural killer cell mediated cytotoxicity;ko04666//Fc gamma R-mediated phagocytosis;ko04662//B cell receptor signaling pathway;ko04664//Fc epsilon RI signaling pathway;ko04670//Leukocyte transendothelial migration;ko04062//Chemokine signaling pathway;ko04024//cAMP signaling pathway,Cellular community - eukaryotes;Cell motility;Signal transduction;Immune system,Environmental Information Processing;Cellular Processes;Organismal Systems,VAV3,3.0883268221989,0.0,0.0
10544,ko04610//Complement and coagulation cascades,Immune system,Organismal Systems,PROCR,-2.58896366826252,2.5150969363188086e-306,2.5882302984355682e-306
10750,ko05205//Proteoglycans in cancer;ko04150//mTOR signaling pathway;ko04072//Phospholipase D signaling pathway;ko05160//Hepatitis C;ko04910//Insulin signaling pathway;ko04151//PI3K-Akt signaling pathway;ko04540//Gap junction;ko04010//MAPK signaling pathway;ko05223//Non-small cell lung cancer;ko05220//Chronic myeloid leukemia;ko05225//Hepatocellular carcinoma;ko05200//Pathways in cancer;ko04380//Osteoclast differentiation;ko04912//GnRH signaling pathway;ko04013//MAPK signaling pathway - fly;ko01522//Endocrine resistance;ko04012//ErbB signaling pathway;ko04650//Natural killer cell mediated cytotoxicity;ko04722//Neurotrophin signaling pathway;ko04510//Focal adhesion;ko04320//Dorso-ventral axis formation;ko01521//EGFR tyrosine kinase inhibitor resistance;ko04660//T cell receptor signaling pathway;ko04550//Signaling pathways regulating pluripotency of stem cells;ko05211//Renal cell carcinoma;ko05213//Endometrial cancer;ko04917//Prolactin signaling pathway;ko05224//Breast cancer;ko05214//Glioma;ko04662//B cell receptor signaling pathway;ko05231//Choline metabolism in cancer;ko05203//Viral carcinogenesis;ko04664//Fc epsilon RI signaling pathway;ko05206//MicroRNAs in cancer;ko05165//Human papillomavirus infection;ko05215//Prostate cancer;ko05034//Alcoholism;ko04915//Estrogen signaling pathway;ko05226//Gastric cancer;ko04068//FoxO signaling pathway;ko04926//Relaxin signaling pathway;ko04062//Chemokine signaling pathway;ko05161//Hepatitis B;ko04630//Jak-STAT signaling pathway;ko05221//Acute myeloid leukemia;ko04014//Ras signaling pathway,Development;Nervous system;Signal transduction;Substance dependence;Infectious diseases: Viral;Cancers: Overview;Cancers: Specific types;Endocrine system;Drug resistance: Antineoplastic;Cellular community - eukaryotes;Immune system,Human Diseases;Environmental Information Processing;Organismal Systems;Cellular Processes,GRAP,-2.17853751026235,1.7933474826863196e-103,3.9341069572760197e-103
10850,ko04060//Cytokine-cytokine receptor interaction;ko04062//Chemokine signaling pathway,Signaling molecules and interaction;Immune system,Environmental Information Processing;Organismal Systems,CCL27,-2.53014569582729,7.502152298642517e-127,1.4573796101537397e-126
109,ko04913//Ovarian steroidogenesis;ko04916//Melanogenesis;ko04270//Vascular smooth muscle contraction;ko05414//Dilated cardiomyopathy (DCM);ko04911//Insulin secretion;ko04022//cGMP-PKG signaling pathway;ko05166//HTLV-I infection;ko04211//Longevity regulating pathway;ko05200//Pathways in cancer;ko04972//Pancreatic secretion;ko04611//Platelet activation;ko04723//Retrograde endocannabinoid signaling;ko04925//Aldosterone synthesis and secretion;ko04970//Salivary secretion;ko05032//Morphine addiction;ko00230//Purine metabolism;ko04914//Progesterone-mediated oocyte maturation;ko04750//Inflammatory mediator regulation of TRP channels;ko05110//Vibrio cholerae infection;ko04015//Rap1 signaling pathway;ko04727//GABAergic synapse;ko04371//Apelin signaling pathway;ko04213//Longevity regulating pathway - multiple species;ko04072//Phospholipase D signaling pathway;ko04725//Cholinergic synapse;ko04062//Chemokine signaling pathway;ko04261//Adrenergic signaling in cardiomyocytes;ko04912//GnRH signaling pathway;ko04713//Circadian entrainment;ko04020//Calcium signaling pathway;ko04024//cAMP signaling pathway;ko04918//Thyroid hormone synthesis;ko04962//Vasopressin-regulated water reabsorption;ko04724//Glutamatergic synapse;ko04971//Gastric acid secretion;ko04926//Relaxin signaling pathway;ko01522//Endocrine resistance;ko04923//Regulation of lipolysis in adipocytes;ko04921//Oxytocin signaling pathway;ko04915//Estrogen signaling pathway;ko04740//Olfactory transduction;ko04976//Bile secretion;ko04114//Oocyte meiosis;ko04540//Gap junction,Nervous system;Digestive system;Cell growth and death;Nucleotide metabolism;Excretory system;Signal transduction;Infectious diseases: Bacterial;Immune system;Drug resistance: Antineoplastic;Endocrine system;Sensory system;Environmental adaptation;Cellular community - eukaryotes;Circulatory system;Substance dependence;Cancers: Overview;Aging;Cardiovascular diseases;Infectious diseases: Viral,Metabolism;Organismal Systems;Cellular Processes;Environmental Information Processing;Human Diseases,ADCY3,-3.5306518174412997,0.0,0.0
11069,ko04024//cAMP signaling pathway;ko04670//Leukocyte transendothelial migration;ko04015//Rap1 signaling pathway;ko04072//Phospholipase D signaling pathway;ko04911//Insulin secretion;ko04261//Adrenergic signaling in cardiomyocytes,Endocrine system;Immune system;Signal transduction;Circulatory system,Organismal Systems;Environmental Information Processing,RAPGEF4,-2.51235523047378,9.990485422413654e-267,1.1517372341765695e-266
11200,ko04218//Cellular senescence;ko04022//cGMP-PKG signaling pathway;ko04140//Autophagy - animal;ko04115//p53 signaling pathway;ko05166//HTLV-I infection;ko04024//cAMP signaling pathway;ko04137//Mitophagy - animal;ko04744//Phototransduction;ko04110//Cell cycle,Signal transduction;Sensory system;Cell growth and death;Infectious diseases: Viral;Transport and catabolism,Organismal Systems;Human Diseases;Cellular Processes;Environmental Information Processing,CHEK2,-2.2096266355720298,2.4852134639357294e-109,5.275755271318899e-109
11326,ko04610//Complement and coagulation cascades,Immune system,Organismal Systems,VSIG4,-2.38036239976184,0.0,0.0
115908,ko04611//Platelet activation;ko04974//Protein digestion and absorption;ko05146//Amoebiasis;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04926//Relaxin signaling pathway,Endocrine and metabolic diseases;Endocrine system;Digestive system;Immune system;Infectious diseases: Parasitic,Organismal Systems;Human Diseases,CTHRC1,-2.7663925563517795,0.0,0.0
1277,ko05165//Human papillomavirus infection;ko05146//Amoebiasis;ko04512//ECM-receptor interaction;ko04151//PI3K-Akt signaling pathway;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04510//Focal adhesion;ko04611//Platelet activation;ko04926//Relaxin signaling pathway;ko04974//Protein digestion and absorption,Signal transduction;Endocrine and metabolic diseases;Cellular community - eukaryotes;Digestive system;Endocrine system;Immune system;Signaling molecules and interaction;Infectious diseases: Parasitic;Infectious diseases: Viral,Cellular Processes;Human Diseases;Organismal Systems;Environmental Information Processing,COL1A1,-2.01015917448889,0.0,0.0
1278,ko04151//PI3K-Akt signaling pathway;ko05146//Amoebiasis;ko05165//Human papillomavirus infection;ko04974//Protein digestion and absorption;ko04926//Relaxin signaling pathway;ko04611//Platelet activation;ko04510//Focal adhesion;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04512//ECM-receptor interaction,Signal transduction;Infectious diseases: Viral;Signaling molecules and interaction;Infectious diseases: Parasitic;Digestive system;Immune system;Cellular community - eukaryotes;Endocrine system;Endocrine and metabolic diseases,Organismal Systems;Environmental Information Processing;Human Diseases;Cellular Processes,COL1A2,-2.4839537785261,0.0,0.0
1281,ko05146//Amoebiasis;ko04926//Relaxin signaling pathway;ko04974//Protein digestion and absorption;ko04611//Platelet activation;ko04933//AGE-RAGE signaling pathway in diabetic complications,Infectious diseases: Parasitic;Immune system;Endocrine system;Endocrine and metabolic diseases;Digestive system,Organismal Systems;Human Diseases,COL3A1,-2.15201921861248,0.0,0.0
1282,ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04510//Focal adhesion;ko05200//Pathways in cancer;ko04512//ECM-receptor interaction;ko04151//PI3K-Akt signaling pathway;ko05222//Small cell lung cancer;ko05165//Human papillomavirus infection;ko05146//Amoebiasis;ko04974//Protein digestion and absorption;ko04926//Relaxin signaling pathway,Infectious diseases: Viral;Cellular community - eukaryotes;Signaling molecules and interaction;Endocrine and metabolic diseases;Endocrine system;Infectious diseases: Parasitic;Cancers: Overview;Signal transduction;Cancers: Specific types;Digestive system,Organismal Systems;Environmental Information Processing;Human Diseases;Cellular Processes,COL4A1,-3.14890113010359,0.0,0.0
1284,ko04974//Protein digestion and absorption;ko05222//Small cell lung cancer;ko04512//ECM-receptor interaction;ko04510//Focal adhesion;ko04151//PI3K-Akt signaling pathway;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko05200//Pathways in cancer;ko05146//Amoebiasis;ko05165//Human papillomavirus infection;ko04926//Relaxin signaling pathway,Cancers: Overview;Digestive system;Signaling molecules and interaction;Endocrine and metabolic diseases;Infectious diseases: Parasitic;Endocrine system;Cellular community - eukaryotes;Infectious diseases: Viral;Cancers: Specific types;Signal transduction,Cellular Processes;Environmental Information Processing;Human Diseases;Organismal Systems,COL4A2,-2.7673386184161903,0.0,0.0
1291,ko04974//Protein digestion and absorption;ko05146//Amoebiasis;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04611//Platelet activation;ko04926//Relaxin signaling pathway,Immune system;Endocrine and metabolic diseases;Endocrine system;Digestive system;Infectious diseases: Parasitic,Organismal Systems;Human Diseases,COL6A1,-3.4730443405602003,0.0,0.0
1307,ko04151//PI3K-Akt signaling pathway;ko04512//ECM-receptor interaction;ko04926//Relaxin signaling pathway;ko05146//Amoebiasis;ko04974//Protein digestion and absorption;ko05222//Small cell lung cancer;ko05165//Human papillomavirus infection;ko04510//Focal adhesion;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko05200//Pathways in cancer,Signaling molecules and interaction;Cellular community - eukaryotes;Cancers: Overview;Signal transduction;Infectious diseases: Parasitic;Endocrine and metabolic diseases;Infectious diseases: Viral;Cancers: Specific types;Digestive system;Endocrine system,Cellular Processes;Human Diseases;Environmental Information Processing;Organismal Systems,COL16A1,-2.3451533331234398,6.228607668004287e-184,9.470651481441676e-184
1364,ko04514//Cell adhesion molecules (CAMs);ko04670//Leukocyte transendothelial migration;ko05160//Hepatitis C;ko04530//Tight junction,Cellular community - eukaryotes;Infectious diseases: Viral;Signaling molecules and interaction;Immune system,Cellular Processes;Human Diseases;Environmental Information Processing;Organismal Systems,CLDN4,5.014616872103731,0.0,0.0
1366,ko04514//Cell adhesion molecules (CAMs);ko04670//Leukocyte transendothelial migration;ko04530//Tight junction;ko05160//Hepatitis C,Infectious diseases: Viral;Signaling molecules and interaction;Cellular community - eukaryotes;Immune system,Cellular Processes;Organismal Systems;Human Diseases;Environmental Information Processing,CLDN7,6.1155644135967995,0.0,0.0
143458,ko04979//Cholesterol metabolism;ko04918//Thyroid hormone synthesis;ko04340//Hedgehog signaling pathway,Digestive system;Signal transduction;Endocrine system,Organismal Systems;Environmental Information Processing,LDLRAD3,2.05358137378926,0.0,0.0
1435,ko04380//Osteoclast differentiation;ko04060//Cytokine-cytokine receptor interaction;ko04668//TNF signaling pathway;ko04151//PI3K-Akt signaling pathway;ko04014//Ras signaling pathway;ko05323//Rheumatoid arthritis;ko04010//MAPK signaling pathway;ko04640//Hematopoietic cell lineage;ko04015//Rap1 signaling pathway,Signaling molecules and interaction;Immune system;Signal transduction;Immune diseases;Development,Human Diseases;Environmental Information Processing;Organismal Systems,CSF1,-3.00588345999027,0.0,0.0
1440,ko04630//Jak-STAT signaling pathway;ko04640//Hematopoietic cell lineage;ko04060//Cytokine-cytokine receptor interaction;ko04151//PI3K-Akt signaling pathway;ko05144//Malaria;ko04657//IL-17 signaling pathway,Signaling molecules and interaction;Infectious diseases: Parasitic;Immune system;Signal transduction,Human Diseases;Environmental Information Processing;Organismal Systems,CSF3,-2.6980959415186296,0.0,0.0
144203,ko04610//Complement and coagulation cascades,Immune system,Organismal Systems,OVOS2,-2.06568928618662,8.808306533444568e-74,2.3579284160040095e-73
145282,ko05132//Salmonella infection;ko04151//PI3K-Akt signaling pathway;ko04810//Regulation of actin cytoskeleton;ko05410//Hypertrophic cardiomyopathy (HCM);ko04024//cAMP signaling pathway;ko04921//Oxytocin signaling pathway;ko04022//cGMP-PKG signaling pathway;ko05414//Dilated cardiomyopathy (DCM);ko05216//Thyroid cancer;ko04360//Axon guidance;ko04510//Focal adhesion;ko04071//Sphingolipid signaling pathway;ko04261//Adrenergic signaling in cardiomyocytes;ko04670//Leukocyte transendothelial migration;ko04310//Wnt signaling pathway;ko05130//Pathogenic Escherichia coli infection;ko05205//Proteoglycans in cancer;ko04512//ECM-receptor interaction;ko05165//Human papillomavirus infection;ko04260//Cardiac muscle contraction;ko05146//Amoebiasis;ko04140//Autophagy - animal;ko04611//Platelet activation;ko05131//Shigellosis;ko05200//Pathways in cancer;ko04062//Chemokine signaling pathway;ko04270//Vascular smooth muscle contraction;ko04530//Tight junction;ko05145//Toxoplasmosis;ko05222//Small cell lung cancer;ko04137//Mitophagy - animal,Signal transduction;Signaling molecules and interaction;Cancers: Specific types;Endocrine system;Cardiovascular diseases;Cancers: Overview;Immune system;Cell motility;Infectious diseases: Bacterial;Development;Transport and catabolism;Infectious diseases: Parasitic;Circulatory system;Infectious diseases: Viral;Cellular community - eukaryotes,Human Diseases;Organismal Systems;Environmental Information Processing;Cellular Processes,MIPOL1,2.15318034140095,0.0,0.0
147645,ko05168//Herpes simplex infection;ko04514//Cell adhesion molecules (CAMs);ko04520//Adherens junction,Infectious diseases: Viral;Signaling molecules and interaction;Cellular community - eukaryotes,Cellular Processes;Environmental Information Processing;Human Diseases,VSIG10L,2.71475650580595,0.0,0.0
148327,ko05215//Prostate cancer;ko05034//Alcoholism;ko04918//Thyroid hormone synthesis;ko04911//Insulin secretion;ko05161//Hepatitis B;ko04922//Glucagon signaling pathway;ko04931//Insulin resistance;ko04668//TNF signaling pathway;ko05016//Huntington's disease;ko04728//Dopaminergic synapse;ko05031//Amphetamine addiction;ko04926//Relaxin signaling pathway;ko04725//Cholinergic synapse;ko04915//Estrogen signaling pathway;ko04962//Vasopressin-regulated water reabsorption;ko04151//PI3K-Akt signaling pathway;ko04916//Melanogenesis;ko05030//Cocaine addiction;ko05165//Human papillomavirus infection;ko05203//Viral carcinogenesis;ko04925//Aldosterone synthesis and secretion;ko04152//AMPK signaling pathway;ko04261//Adrenergic signaling in cardiomyocytes;ko04211//Longevity regulating pathway;ko04022//cGMP-PKG signaling pathway;ko04024//cAMP signaling pathway,Nervous system;Infectious diseases: Viral;Cancers: Specific types;Circulatory system;Cancers: Overview;Endocrine system;Endocrine and metabolic diseases;Excretory system;Signal transduction;Aging;Neurodegenerative diseases;Substance dependence,Organismal Systems;Environmental Information Processing;Human Diseases,CREB3L4,4.4648343347825,0.0,0.0
149708,ko04610//Complement and coagulation cascades,Immune system,Organismal Systems,WFDC5,-2.76677420660704,2.1760248023283495e-133,4.084150091259698e-133
157638,ko04141//Protein processing in endoplasmic reticulum;ko04310//Wnt signaling pathway;ko04974//Protein digestion and absorption;ko05226//Gastric cancer;ko05166//HTLV-I infection;ko04150//mTOR signaling pathway;ko05217//Basal cell carcinoma;ko05225//Hepatocellular carcinoma;ko05200//Pathways in cancer;ko04916//Melanogenesis;ko04926//Relaxin signaling pathway;ko05205//Proteoglycans in cancer;ko04550//Signaling pathways regulating pluripotency of stem cells;ko05224//Breast cancer;ko04612//Antigen processing and presentation;ko03018//RNA degradation;ko04611//Platelet activation;ko05165//Human papillomavirus infection;ko04142//Lysosome;ko04210//Apoptosis;ko05146//Amoebiasis;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04145//Phagosome;ko04390//Hippo signaling pathway;ko05152//Tuberculosis,"Cellular community - eukaryotes;Cancers: Overview;Immune system;Endocrine and metabolic diseases;Infectious diseases: Parasitic;Endocrine system;Signal transduction;Infectious diseases: Bacterial;Cell growth and death;Folding, sorting and degradation;Digestive system;Cancers: Specific types;Infectious diseases: Viral;Transport and catabolism",Cellular Processes;Genetic Information Processing;Human Diseases;Environmental Information Processing;Organismal Systems,FAM84B,2.24356375742863,0.0,0.0
1675,ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades,Infectious diseases: Bacterial;Immune system,Human Diseases;Organismal Systems,CFD,-5.59162638906968,0.0,0.0
171546,ko05202//Transcriptional misregulation in cancer;ko05133//Pertussis;ko05020//Prion diseases;ko05322//Systemic lupus erythematosus;ko05168//Herpes simplex infection;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades;ko03018//RNA degradation,"Cancers: Overview;Infectious diseases: Viral;Folding, sorting and degradation;Infectious diseases: Bacterial;Neurodegenerative diseases;Immune diseases;Immune system",Organismal Systems;Human Diseases;Genetic Information Processing,SPTSSA,2.8574738389034104,0.0,0.0
1839,ko04012//ErbB signaling pathway;ko05120//Epithelial cell signaling in Helicobacter pylori infection;ko04915//Estrogen signaling pathway;ko04912//GnRH signaling pathway;ko01522//Endocrine resistance;ko05205//Proteoglycans in cancer;ko05219//Bladder cancer,Cancers: Specific types;Drug resistance: Antineoplastic;Endocrine system;Signal transduction;Infectious diseases: Bacterial;Cancers: Overview,Human Diseases;Organismal Systems;Environmental Information Processing,HBEGF,-2.19121264171064,0.0,0.0
1902,ko04015//Rap1 signaling pathway;ko05200//Pathways in cancer;ko04080//Neuroactive ligand-receptor interaction;ko04072//Phospholipase D signaling pathway;ko04151//PI3K-Akt signaling pathway;ko04540//Gap junction,Cellular community - eukaryotes;Signal transduction;Cancers: Overview;Signaling molecules and interaction,Human Diseases;Environmental Information Processing;Cellular Processes,LPAR1,-4.319025549017541,0.0,0.0
1944,ko04014//Ras signaling pathway;ko04151//PI3K-Akt signaling pathway;ko04360//Axon guidance;ko04010//MAPK signaling pathway;ko04015//Rap1 signaling pathway,Development;Signal transduction,Environmental Information Processing;Organismal Systems,EFNA3,2.89958081215519,0.0,0.0
1945,ko04360//Axon guidance;ko04151//PI3K-Akt signaling pathway;ko04010//MAPK signaling pathway;ko04014//Ras signaling pathway;ko04015//Rap1 signaling pathway,Signal transduction;Development,Environmental Information Processing;Organismal Systems,EFNA4,2.39510980070146,5.106535207603189e-147,9.012729446245868e-147
1958,ko04933//AGE-RAGE signaling pathway in diabetic complications;ko05166//HTLV-I infection;ko05020//Prion diseases;ko04371//Apelin signaling pathway,Signal transduction;Neurodegenerative diseases;Endocrine and metabolic diseases;Infectious diseases: Viral,Human Diseases;Environmental Information Processing,EGR1,-2.96793384989561,0.0,0.0
196883,ko05166//HTLV-I infection;ko04022//cGMP-PKG signaling pathway;ko04540//Gap junction;ko04114//Oocyte meiosis;ko04912//GnRH signaling pathway;ko04723//Retrograde endocannabinoid signaling;ko04072//Phospholipase D signaling pathway;ko05414//Dilated cardiomyopathy (DCM);ko04015//Rap1 signaling pathway;ko04062//Chemokine signaling pathway;ko04916//Melanogenesis;ko04727//GABAergic synapse;ko04970//Salivary secretion;ko05200//Pathways in cancer;ko04914//Progesterone-mediated oocyte maturation;ko04371//Apelin signaling pathway;ko04725//Cholinergic synapse;ko04211//Longevity regulating pathway;ko04750//Inflammatory mediator regulation of TRP channels;ko04972//Pancreatic secretion;ko04213//Longevity regulating pathway - multiple species;ko04270//Vascular smooth muscle contraction;ko04971//Gastric acid secretion;ko04925//Aldosterone synthesis and secretion;ko04261//Adrenergic signaling in cardiomyocytes;ko04918//Thyroid hormone synthesis;ko00230//Purine metabolism;ko01522//Endocrine resistance;ko05032//Morphine addiction;ko04611//Platelet activation;ko04713//Circadian entrainment;ko04742//Taste transduction;ko04911//Insulin secretion;ko04976//Bile secretion;ko04913//Ovarian steroidogenesis;ko04915//Estrogen signaling pathway;ko04923//Regulation of lipolysis in adipocytes;ko04724//Glutamatergic synapse;ko04024//cAMP signaling pathway;ko04926//Relaxin signaling pathway;ko04921//Oxytocin signaling pathway;ko04020//Calcium signaling pathway,Endocrine system;Cell growth and death;Nervous system;Circulatory system;Infectious diseases: Viral;Substance dependence;Drug resistance: Antineoplastic;Cardiovascular diseases;Cellular community - eukaryotes;Immune system;Environmental adaptation;Cancers: Overview;Signal transduction;Sensory system;Digestive system;Aging;Nucleotide metabolism,Organismal Systems;Environmental Information Processing;Metabolism;Human Diseases;Cellular Processes,ADCY4,-2.03869826343719,0.0,0.0
2099,ko04915//Estrogen signaling pathway;ko04917//Prolactin signaling pathway;ko04961//Endocrine and other factor-regulated calcium reabsorption;ko04919//Thyroid hormone signaling pathway;ko05224//Breast cancer;ko05200//Pathways in cancer;ko05205//Proteoglycans in cancer;ko01522//Endocrine resistance,Excretory system;Drug resistance: Antineoplastic;Cancers: Specific types;Cancers: Overview;Endocrine system,Human Diseases;Organismal Systems,ESR1,-2.33633099024616,0.0,0.0
2113,ko04013//MAPK signaling pathway - fly;ko05166//HTLV-I infection;ko05200//Pathways in cancer;ko05211//Renal cell carcinoma;ko04320//Dorso-ventral axis formation;ko04218//Cellular senescence;ko04014//Ras signaling pathway,Development;Infectious diseases: Viral;Cancers: Overview;Cell growth and death;Cancers: Specific types;Signal transduction,Human Diseases;Environmental Information Processing;Cellular Processes;Organismal Systems,ETS1,-3.0570850950531696,0.0,0.0
214,ko04514//Cell adhesion molecules (CAMs),Signaling molecules and interaction,Environmental Information Processing,ALCAM,2.7136014146377794,0.0,0.0
2159,ko04610//Complement and coagulation cascades,Immune system,Organismal Systems,F10,-4.63379914624941,0.0,0.0
2162,ko04610//Complement and coagulation cascades,Immune system,Organismal Systems,F13A1,-2.9205449915159303,0.0,0.0
2260,ko05205//Proteoglycans in cancer;ko04014//Ras signaling pathway;ko04520//Adherens junction;ko05215//Prostate cancer;ko05218//Melanoma;ko04015//Rap1 signaling pathway;ko05224//Breast cancer;ko04151//PI3K-Akt signaling pathway;ko04010//MAPK signaling pathway;ko04810//Regulation of actin cytoskeleton;ko05230//Central carbon metabolism in cancer;ko05200//Pathways in cancer;ko04550//Signaling pathways regulating pluripotency of stem cells,Cancers: Overview;Signal transduction;Cellular community - eukaryotes;Cancers: Specific types;Cell motility,Cellular Processes;Environmental Information Processing;Human Diseases,FGFR1,-3.1064328111697597,0.0,0.0
22808,ko04014//Ras signaling pathway;ko05205//Proteoglycans in cancer;ko05166//HTLV-I infection;ko04010//MAPK signaling pathway;ko04371//Apelin signaling pathway;ko04140//Autophagy - animal;ko04137//Mitophagy - animal;ko04015//Rap1 signaling pathway;ko04218//Cellular senescence;ko04810//Regulation of actin cytoskeleton;ko04072//Phospholipase D signaling pathway,Transport and catabolism;Infectious diseases: Viral;Cell motility;Signal transduction;Cancers: Overview;Cell growth and death,Environmental Information Processing;Cellular Processes;Human Diseases,MRAS,2.0352395362983198,0.0,0.0
