ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04510	Focal adhesion	42/540	199/7470	1.41004199583137e-10	4.01861968811941e-08	3.02787965420632e-08	VAV3/ERBB2/ITGA2/ITGB8/ARHGAP5/SHC4/PIK3CB/PIK3R1/LAMC3/MYL9/COL1A1/COL1A2/COL4A1/COL4A2/COL6A1/COL6A2/COL6A3/FLNA/FN1/FYN/HGF/TNC/IGF1/ITGA5/ITGA9/KDR/LAMA4/LAMB1/LAMC1/MYLK/PDGFRA/PGF/MAPK3/RAC2/PARVG/THBS2/THBS3/VEGFC/VWF/PDGFD/CAV1/CCND2	42
hsa04670	Leukocyte transendothelial migration	28/540	112/7470	3.52151075647793e-09	5.01815282798105e-07	3.78099049642894e-07	OCLN/VAV3/CLDN4/CLDN7/ARHGAP5/PIK3CB/PIK3R1/CLDN10/CLDN8/CDH5/MYL9/RAPGEF3/RAPGEF4/GNAI2/ICAM1/CD99/MMP2/NCF4/CLDN11/JAM2/RAC2/CXCL12/THY1/CLDN5/VCAM1/CXCR4/JAM3/ESAM	28
hsa04610	Complement and coagulation cascades	22/540	79/7470	2.06482707040091e-08	1.96158571688086e-06	1.47798148197117e-06	CD46/PROCR/VSIG4/CFD/F10/F13A1/CFH/SERPINE1/PLAT/PLAU/BDKRB2/CFB/TFPI/SERPING1/C1QA/C1QB/C1QC/C1R/C1S/C3/C7/VWF	22
hsa04514	Cell adhesion molecules (CAMs)	30/540	144/7470	8.91094619039812e-08	6.34904916065866e-06	4.78377111274004e-06	OCLN/CLDN4/CLDN7/ALCAM/ITGB8/PTPRF/SDC4/CLDN10/CLDN8/CDH1/CDH5/HLA-A/HLA-C/HLA-E/HLA-F/ICAM1/ICAM2/ITGA9/CD99/CLDN11/CADM3/PTPRC/JAM2/SELE/CLDN5/VCAM1/JAM3/ESAM/CD4/CD34	30
hsa05144	Malaria	16/540	49/7470	1.58759563053827e-07	9.04929509406812e-06	6.81830544483803e-06	KLRC4-KLRK1/CSF3/GYPC/HBA1/HBA2/HBB/HGF/ICAM1/LRP1/CCL2/SELE/THBS2/THBS3/TLR4/VCAM1/CD81	16
hsa04512	ECM-receptor interaction	21/540	82/7470	2.1081602263023e-07	1.00137610749359e-05	7.54499449413454e-06	ITGA2/ITGB8/SDC4/LAMC3/COL1A1/COL1A2/COL4A1/COL4A2/COL6A1/COL6A2/COL6A3/FN1/TNC/ITGA5/ITGA9/LAMA4/LAMB1/LAMC1/THBS2/THBS3/VWF	21
hsa04974	Protein digestion and absorption	22/540	90/7470	2.63242474528136e-07	1.07177293200741e-05	8.07540824116386e-06	KCNN4/ATP1A1/ATP1B1/SLC1A5/KCNK5/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL6A1/COL6A2/COL6A3/COL12A1/CPA3/ELN/PRSS3/COL14A1/COL18A1/SLC7A7	22
hsa04062	Chemokine signaling pathway	34/540	189/7470	5.15578355562541e-07	1.83674789169155e-05	1.38392084914156e-05	VAV3/SHC4/PIK3CB/PIK3R1/PRKACB/CCL28/CCL27/ADCY3/ADCY4/GNAI2/GNG11/GRK5/HCK/CCL4L1/CCL3L3/GNG2/PRKCD/MAPK3/RAC2/CCL2/CCL3/CCL3L1/CCL4/CCL5/CCL8/CCL19/CCL20/CCL21/CCL23/CXCL12/CXCR4/CXCL14/CCL4L2/ELMO1	34
hsa05205	Proteoglycans in cancer	35/540	201/7470	7.83113793241838e-07	2.47986034526582e-05	1.86848203299807e-05	ERBB2/MRAS/PDCD4/ANK3/HIF1A/ITGA2/ITPR2/PIK3CB/PIK3R1/PRKACB/SDC4/FZD1/FZD10/DCN/HBEGF/ESR1/FGFR1/FLNA/FN1/ANK2/HGF/HSPB2/IGF1/IGF2/ITGA5/KDR/LUM/MMP2/PLAU/MAPK3/RRAS/TLR4/WNT5A/WNT11/CAV1	35
hsa04151	PI3K-Akt signaling pathway	51/540	354/7470	1.15824919916544e-06	3.30101021762151e-05	2.48718775399737e-05	CREB3L4/EFNA3/EFNA4/ERBB2/ITGA2/ITGB8/PIK3CB/PIK3R1/LAMC3/COL1A1/COL1A2/COL4A1/COL4A2/COL6A1/COL6A2/COL6A3/CSF1/CSF3/LPAR1/EIF4EBP1/FGFR1/FLT3LG/FN1/GNG11/ANGPT2/HGF/TNC/IGF1/IGF2/IL2RG/IL3RA/IL7/ITGA5/ITGA9/KDR/LAMA4/LAMB1/LAMC1/PDGFRA/PGF/GNG2/PKN1/MAPK3/THBS2/THBS3/TLR4/VEGFC/VWF/PDGFD/CCND2/CREB5	51
hsa05146	Amoebiasis	21/540	96/7470	3.4462848810226e-06	8.929010828104e-05	6.72767574859913e-05	PIK3CB/PIK3R1/PRKACB/LAMC3/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/CTSG/FN1/HSPB1/ARG1/LAMA4/LAMB1/LAMC1/SERPINB9/SERPINB13/SERPINB3/SERPINB4/TLR4	21
hsa04915	Estrogen signaling pathway	26/540	137/7470	4.15875211761513e-06	9.87703627933592e-05	7.44197747362707e-05	CREB3L4/FKBP4/ITPR2/KRT14/KRT15/KRT16/KRT17/KRT18/KRT19/SHC4/PIK3CB/PIK3R1/PRKACB/ADCY3/HBEGF/ADCY4/ESR1/GNAI2/HSPA1A/HSPA1B/KRT10/KRT13/MMP2/PRKCD/MAPK3/CREB5	26
hsa05165	Human papillomavirus infection	47/540	339/7470	9.01531533299905e-06	0.000197643451531133	0.000148916949630106	PATJ/CREB3L4/ATP6V0E2/ITGA2/ITGB8/PIK3CB/PIK3R1/PRKACB/FZD1/PARD6B/SLC9A3R1/LAMC3/IRF9/FZD10/COL1A1/COL1A2/COL4A1/COL4A2/COL6A1/COL6A2/COL6A3/EIF4EBP1/FOXO1/FN1/HEY1/HLA-A/HLA-C/HLA-E/HLA-F/TNC/ITGA5/ITGA9/LAMA4/LAMB1/LAMC1/MFNG/NOTCH3/MAPK3/THBS2/THBS3/VWF/WNT5A/WNT11/OASL/CCND2/CREB5/ISG15	47
hsa04933	AGE-RAGE signaling pathway in diabetic complications	20/540	99/7470	2.0716553638448e-05	0.000407654902083645	0.000307152724007622	PIK3CB/PIK3R1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/EGR1/FOXO1/FN1/ICAM1/MMP2/NFATC1/SERPINE1/PRKCD/MAPK3/CCL2/SELE/VCAM1/VEGFC	20
hsa05020	Prion diseases	11/540	35/7470	2.14555211622971e-05	0.000407654902083645	0.000307152724007622	PRKACB/EGR1/FYN/HSPA1A/LAMC1/MAPK3/CCL5/C1QA/C1QB/C1QC/C7	11
hsa05163	Human cytomegalovirus infection	32/540	225/7470	0.000154936639896837	0.00275980889816241	0.00207941279861545	CREB3L4/ITPR2/PIK3CB/PIK3R1/PRKACB/ADCY3/ADCY4/EIF4EBP1/GNAI2/GNG11/HLA-A/HLA-C/HLA-E/HLA-F/TMEM173/CCL4L1/CCL3L3/NFATC1/NFATC2/PDGFRA/GNG2/MAPK3/RAC2/CCL2/CCL3/CCL3L1/CCL4/CCL5/CXCL12/CXCR4/CCL4L2/CREB5	32
hsa04960	Aldosterone-regulated sodium reabsorption	10/540	37/7470	0.000209578875548213	0.00351352820772003	0.00264731211218795	NEDD4L/HSD11B2/ATP1A1/ATP1B1/PIK3CB/PIK3R1/SCNN1A/IGF1/MAPK3/SLC9A3R2	10
hsa04015	Rap1 signaling pathway	29/540	206/7470	0.000372859631655608	0.00567327806395014	0.00427460286258847	EFNA3/EFNA4/MRAS/PFN2/PIK3CB/PIK3R1/PARD6B/CDH1/RAPGEF3/ADCY3/RAPGEF4/CSF1/LPAR1/ADCY4/FGFR1/FYB1/GNAI2/ANGPT2/HGF/IGF1/KDR/PDGFRA/PGF/MAPK3/RAC2/RRAS/ARAP3/VEGFC/PDGFD	29
hsa04926	Relaxin signaling pathway	21/540	130/7470	0.000378218537596676	0.00567327806395014	0.00427460286258847	CREB3L4/SHC4/PIK3CB/PIK3R1/PRKACB/ADCY3/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/EDNRB/ADCY4/GNAI2/GNG11/MMP2/GNG2/MAPK3/ACTA2/VEGFC/CREB5	21
hsa05150	Staphylococcus aureus infection	12/540	56/7470	0.000530700339504572	0.00756247983794015	0.00569804575047014	CFD/FPR3/CFH/ICAM1/KRT10/CFB/C1QA/C1QB/C1QC/C1R/C1S/C3	12
hsa05143	African trypanosomiasis	9/540	35/7470	0.000648856316363345	0.0088059071506454	0.00663492173123421	F2RL1/HBA1/HBA2/HBB/ICAM1/LAMA4/SELE/VCAM1/APOL1	9
hsa04360	Axon guidance	25/540	175/7470	0.000748129691793597	0.00969168009823524	0.00730231852277004	EFNA3/EFNA4/EPHB3/PIK3CB/PIK3R1/PARD6B/SEMA3E/SEMA3D/FYN/RND1/GNAI2/NFATC2/PLXNA2/SSH1/SEMA4C/MAPK3/RAC2/RRAS/CXCL12/BMPR1B/SLIT3/WNT5A/CXCR4/SEMA5A/SLIT2	25
hsa00360	Phenylalanine metabolism	6/540	17/7470	0.00086196391109046	0.0106808571591644	0.00804762644679423	ALDH3B2/GOT1/ALDH3A1/IL4I1/MAOB/AOC3	6
hsa05142	Chagas disease (American trypanosomiasis)	17/540	102/7470	0.000930166373017069	0.0110457256795777	0.00832254123225799	PIK3CB/PIK3R1/GNAI2/CCL3L3/SERPINE1/MAPK3/BDKRB2/CCL2/CCL3/CCL3L1/CCL5/TLR4/C1QA/C1QB/C1QC/C3/CD3E	17
hsa05132	Salmonella infection	15/540	86/7470	0.0011356389863811	0.0127144453245231	0.00957985908108109	DYNC1I1/PFN2/ARPC4/ARPC1B/FLNA/PYCARD/CCL4L1/CCL3L3/PKN1/MAPK3/CCL3/CCL3L1/CCL4/TLR4/CCL4L2	15
hsa04060	Cytokine-cytokine receptor interaction	36/540	294/7470	0.00115991431030737	0.0127144453245231	0.00957985908108109	IL17RB/CCL28/IL17RC/CCL27/CSF1/CSF3/IL1RN/IL2RG/IL3RA/IL7/IL15RA/IL16/CCL4L1/LTB/CCL3L3/ACKR4/ACKR3/CCL2/CCL3/CCL3L1/CCL4/CCL5/CCL8/CCL19/CCL20/CCL21/CCL23/CXCL12/BMPR1B/CXCR4/TNFRSF6B/CD4/IL32/ACVRL1/CXCL14/CCL4L2	36
hsa04371	Apelin signaling pathway	20/540	137/7470	0.00188759753116311	0.0199246406067217	0.0150124715928762	MRAS/ITPR2/PRKACB/CDH1/KLF2/ADCY3/CTGF/EGR1/ADCY4/GNAI2/GNG11/MEF2C/MYLK/NOTCH3/SERPINE1/PLAT/GNG2/MAPK3/ACTA2/RRAS	20
hsa04024	cAMP signaling pathway	26/540	199/7470	0.0022241680291043	0.0226388531533831	0.0170575292457623	VAV3/CREB3L4/GRIA2/ATP1A1/ATP1B1/NPY1R/PIK3CB/PIK3R1/PRKACB/PPP1R1B/MYL9/RAPGEF3/ADCY3/RAPGEF4/ADCY4/GNAI2/NFATC1/FXYD1/PLN/MAPK3/RAC2/RRAS/ARAP3/SSTR2/HCAR3/CREB5	26
hsa04218	Cellular senescence	22/540	160/7470	0.00250120534944987	0.0245808111928694	0.0185207220068157	MRAS/SLC25A4/ITPR2/PIK3CB/PIK3R1/CHEK2/E2F4/EIF4EBP1/ETS1/FOXO1/HLA-A/HLA-C/HLA-E/HLA-F/IGFBP3/NFATC1/NFATC2/SERPINE1/MAPK3/LIN37/RRAS/CCND2	22
hsa05133	Pertussis	13/540	76/7470	0.00284821310274914	0.0262776807412998	0.0197992497552176	GNAI2/PYCARD/IRF8/ITGA5/MAPK3/TLR4/SERPING1/C1QA/C1QB/C1QC/C1R/C1S/C3	13
hsa04810	Regulation of actin cytoskeleton	27/540	213/7470	0.00285827404554489	0.0262776807412998	0.0197992497552176	VAV3/IQGAP2/MRAS/ITGA2/ITGB8/PFN2/PIK3CB/PIK3R1/PIP5K1B/ARPC4/ARPC1B/MYL9/LPAR1/FGFR1/FN1/ITGA5/ITGA9/MYLK/PDGFRA/SSH1/MAPK3/RAC2/RRAS/BDKRB2/CXCL12/CXCR4/PDGFD	27
hsa04611	Platelet activation	18/540	123/7470	0.00303979536999981	0.0270731775140608	0.0203986268249987	ITGA2/ITPR2/PIK3CB/PIK3R1/PRKACB/ADCY3/COL1A1/COL1A2/COL3A1/ADCY4/FYN/GNAI2/MYLK/MAPK3/PTGS1/BTK/VWF/FERMT3	18
hsa05215	Prostate cancer	15/540	97/7470	0.00386437769869809	0.0333741710342107	0.02514618980971	CREB3L4/ERBB2/PIK3CB/PIK3R1/SPINT1/ERG/FGFR1/FOXO1/IGF1/PDGFRA/PLAT/PLAU/MAPK3/PDGFD/CREB5	15
