Gene ID,Pathway Name,Level 2,Level 1,Other Gene ID
100129583,ko04216//Ferroptosis;ko04217//Necroptosis;ko04978//Mineral absorption,Cell growth and death;Digestive system,Organismal Systems;Cellular Processes,FAM47E
100506658,ko04530//Tight junction;ko04670//Leukocyte transendothelial migration;ko04514//Cell adhesion molecules (CAMs);ko05130//Pathogenic Escherichia coli infection;ko05160//Hepatitis C,Immune system;Infectious diseases: Bacterial;Cellular community - eukaryotes;Signaling molecules and interaction;Infectious diseases: Viral,Environmental Information Processing;Cellular Processes;Human Diseases;Organismal Systems,OCLN
10207,ko05165//Human papillomavirus infection;ko04390//Hippo signaling pathway;ko04530//Tight junction,Cellular community - eukaryotes;Infectious diseases: Viral;Signal transduction,Environmental Information Processing;Human Diseases;Cellular Processes,PATJ
102724720,ko00480//Glutathione metabolism;ko04137//Mitophagy - animal;ko04140//Autophagy - animal,Transport and catabolism;Metabolism of other amino acids,Metabolism;Cellular Processes,LOC102724720
10451,ko04660//T cell receptor signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04510//Focal adhesion;ko04650//Natural killer cell mediated cytotoxicity;ko04666//Fc gamma R-mediated phagocytosis;ko04662//B cell receptor signaling pathway;ko04664//Fc epsilon RI signaling pathway;ko04670//Leukocyte transendothelial migration;ko04062//Chemokine signaling pathway;ko04024//cAMP signaling pathway,Cellular community - eukaryotes;Cell motility;Signal transduction;Immune system,Environmental Information Processing;Cellular Processes;Organismal Systems,VAV3
124975,ko01100//Metabolic pathways;ko00430//Taurine and hypotaurine metabolism;ko00480//Glutathione metabolism,Global and overview maps;Metabolism of other amino acids,Metabolism,GGT6
126969,ko05231//Choline metabolism in cancer,Cancers: Overview,Human Diseases,SLC44A3
1364,ko04514//Cell adhesion molecules (CAMs);ko04670//Leukocyte transendothelial migration;ko05160//Hepatitis C;ko04530//Tight junction,Cellular community - eukaryotes;Infectious diseases: Viral;Signaling molecules and interaction;Immune system,Cellular Processes;Human Diseases;Environmental Information Processing;Organismal Systems,CLDN4
1366,ko04514//Cell adhesion molecules (CAMs);ko04670//Leukocyte transendothelial migration;ko04530//Tight junction;ko05160//Hepatitis C,Infectious diseases: Viral;Signaling molecules and interaction;Cellular community - eukaryotes;Immune system,Cellular Processes;Organismal Systems;Human Diseases;Environmental Information Processing,CLDN7
143458,ko04979//Cholesterol metabolism;ko04918//Thyroid hormone synthesis;ko04340//Hedgehog signaling pathway,Digestive system;Signal transduction;Endocrine system,Organismal Systems;Environmental Information Processing,LDLRAD3
145282,ko05132//Salmonella infection;ko04151//PI3K-Akt signaling pathway;ko04810//Regulation of actin cytoskeleton;ko05410//Hypertrophic cardiomyopathy (HCM);ko04024//cAMP signaling pathway;ko04921//Oxytocin signaling pathway;ko04022//cGMP-PKG signaling pathway;ko05414//Dilated cardiomyopathy (DCM);ko05216//Thyroid cancer;ko04360//Axon guidance;ko04510//Focal adhesion;ko04071//Sphingolipid signaling pathway;ko04261//Adrenergic signaling in cardiomyocytes;ko04670//Leukocyte transendothelial migration;ko04310//Wnt signaling pathway;ko05130//Pathogenic Escherichia coli infection;ko05205//Proteoglycans in cancer;ko04512//ECM-receptor interaction;ko05165//Human papillomavirus infection;ko04260//Cardiac muscle contraction;ko05146//Amoebiasis;ko04140//Autophagy - animal;ko04611//Platelet activation;ko05131//Shigellosis;ko05200//Pathways in cancer;ko04062//Chemokine signaling pathway;ko04270//Vascular smooth muscle contraction;ko04530//Tight junction;ko05145//Toxoplasmosis;ko05222//Small cell lung cancer;ko04137//Mitophagy - animal,Signal transduction;Signaling molecules and interaction;Cancers: Specific types;Endocrine system;Cardiovascular diseases;Cancers: Overview;Immune system;Cell motility;Infectious diseases: Bacterial;Development;Transport and catabolism;Infectious diseases: Parasitic;Circulatory system;Infectious diseases: Viral;Cellular community - eukaryotes,Human Diseases;Organismal Systems;Environmental Information Processing;Cellular Processes,MIPOL1
147645,ko05168//Herpes simplex infection;ko04514//Cell adhesion molecules (CAMs);ko04520//Adherens junction,Infectious diseases: Viral;Signaling molecules and interaction;Cellular community - eukaryotes,Cellular Processes;Environmental Information Processing;Human Diseases,VSIG10L
148327,ko05215//Prostate cancer;ko05034//Alcoholism;ko04918//Thyroid hormone synthesis;ko04911//Insulin secretion;ko05161//Hepatitis B;ko04922//Glucagon signaling pathway;ko04931//Insulin resistance;ko04668//TNF signaling pathway;ko05016//Huntington's disease;ko04728//Dopaminergic synapse;ko05031//Amphetamine addiction;ko04926//Relaxin signaling pathway;ko04725//Cholinergic synapse;ko04915//Estrogen signaling pathway;ko04962//Vasopressin-regulated water reabsorption;ko04151//PI3K-Akt signaling pathway;ko04916//Melanogenesis;ko05030//Cocaine addiction;ko05165//Human papillomavirus infection;ko05203//Viral carcinogenesis;ko04925//Aldosterone synthesis and secretion;ko04152//AMPK signaling pathway;ko04261//Adrenergic signaling in cardiomyocytes;ko04211//Longevity regulating pathway;ko04022//cGMP-PKG signaling pathway;ko04024//cAMP signaling pathway,Nervous system;Infectious diseases: Viral;Cancers: Specific types;Circulatory system;Cancers: Overview;Endocrine system;Endocrine and metabolic diseases;Excretory system;Signal transduction;Aging;Neurodegenerative diseases;Substance dependence,Organismal Systems;Environmental Information Processing;Human Diseases,CREB3L4
2064,ko05212//Pancreatic cancer;ko05200//Pathways in cancer;ko05205//Proteoglycans in cancer;ko01521//EGFR tyrosine kinase inhibitor resistance;ko05224//Breast cancer;ko04530//Tight junction;ko05223//Non-small cell lung cancer;ko05219//Bladder cancer;ko05206//MicroRNAs in cancer;ko04020//Calcium signaling pathway;ko05226//Gastric cancer;ko04066//HIF-1 signaling pathway;ko01524//Platinum drug resistance;ko04510//Focal adhesion;ko05213//Endometrial cancer;ko04520//Adherens junction;ko01522//Endocrine resistance;ko05230//Central carbon metabolism in cancer;ko05215//Prostate cancer;ko04012//ErbB signaling pathway,Signal transduction;Cancers: Overview;Drug resistance: Antineoplastic;Cancers: Specific types;Cellular community - eukaryotes,Environmental Information Processing;Cellular Processes;Human Diseases,ERBB2
214,ko04514//Cell adhesion molecules (CAMs),Signaling molecules and interaction,Environmental Information Processing,ALCAM
2150,ko05143//African trypanosomiasis;ko04750//Inflammatory mediator regulation of TRP channels;ko04080//Neuroactive ligand-receptor interaction,Infectious diseases: Parasitic;Signaling molecules and interaction;Sensory system,Human Diseases;Environmental Information Processing;Organismal Systems,F2RL1
2180,ko00061//Fatty acid biosynthesis;ko04146//Peroxisome;ko00071//Fatty acid degradation;ko04216//Ferroptosis;ko03320//PPAR signaling pathway;ko04920//Adipocytokine signaling pathway;ko01212//Fatty acid metabolism;ko01100//Metabolic pathways,Global and overview maps;Cell growth and death;Endocrine system;Lipid metabolism;Transport and catabolism,Organismal Systems;Cellular Processes;Metabolism,ACSL1
2181,ko00071//Fatty acid degradation;ko04920//Adipocytokine signaling pathway;ko04146//Peroxisome;ko03320//PPAR signaling pathway;ko01100//Metabolic pathways;ko00061//Fatty acid biosynthesis;ko04216//Ferroptosis;ko01212//Fatty acid metabolism,Transport and catabolism;Lipid metabolism;Endocrine system;Cell growth and death;Global and overview maps,Organismal Systems;Metabolism;Cellular Processes,ACSL3
2203,ko01100//Metabolic pathways;ko00030//Pentose phosphate pathway;ko04910//Insulin signaling pathway;ko00051//Fructose and mannose metabolism;ko00010//Glycolysis / Gluconeogenesis;ko04152//AMPK signaling pathway;ko01200//Carbon metabolism,Carbohydrate metabolism;Signal transduction;Endocrine system;Global and overview maps,Metabolism;Environmental Information Processing;Organismal Systems,FBP1
23327,ko04144//Endocytosis;ko04120//Ubiquitin mediated proteolysis;ko04960//Aldosterone-regulated sodium reabsorption;ko04530//Tight junction,"Folding, sorting and degradation;Excretory system;Cellular community - eukaryotes;Transport and catabolism",Cellular Processes;Genetic Information Processing;Organismal Systems,NEDD4L
23624,ko05220//Chronic myeloid leukemia;ko04012//ErbB signaling pathway;ko05200//Pathways in cancer;ko04144//Endocytosis;ko05205//Proteoglycans in cancer;ko04120//Ubiquitin mediated proteolysis;ko04660//T cell receptor signaling pathway;ko04910//Insulin signaling pathway;ko05100//Bacterial invasion of epithelial cells,"Infectious diseases: Bacterial;Endocrine system;Folding, sorting and degradation;Cancers: Overview;Signal transduction;Immune system;Transport and catabolism;Cancers: Specific types",Cellular Processes;Human Diseases;Environmental Information Processing;Genetic Information Processing;Organismal Systems,CBLC
26053,ko03020//RNA polymerase;ko00230//Purine metabolism;ko05016//Huntington's disease;ko01522//Endocrine resistance;ko05202//Transcriptional misregulation in cancer;ko05168//Herpes simplex infection;ko05169//Epstein-Barr virus infection;ko04919//Thyroid hormone signaling pathway;ko01100//Metabolic pathways;ko05146//Amoebiasis;ko00240//Pyrimidine metabolism;ko05226//Gastric cancer,Neurodegenerative diseases;Cancers: Overview;Drug resistance: Antineoplastic;Infectious diseases: Viral;Global and overview maps;Cancers: Specific types;Endocrine system;Transcription;Nucleotide metabolism;Infectious diseases: Parasitic,Genetic Information Processing;Metabolism;Organismal Systems;Human Diseases,AUTS2
2678,ko00480//Glutathione metabolism;ko00590//Arachidonic acid metabolism;ko01100//Metabolic pathways;ko00430//Taurine and hypotaurine metabolism,Global and overview maps;Metabolism of other amino acids;Lipid metabolism,Metabolism,GGT1
3091,ko05205//Proteoglycans in cancer;ko05167//Kaposi's sarcoma-associated herpesvirus infection;ko04066//HIF-1 signaling pathway;ko04212//Longevity regulating pathway - worm;ko04919//Thyroid hormone signaling pathway;ko05200//Pathways in cancer;ko05230//Central carbon metabolism in cancer;ko05231//Choline metabolism in cancer;ko05211//Renal cell carcinoma;ko04140//Autophagy - animal;ko04659//Th17 cell differentiation;ko04137//Mitophagy - animal,Cancers: Overview;Aging;Immune system;Signal transduction;Endocrine system;Infectious diseases: Viral;Transport and catabolism;Cancers: Specific types,Environmental Information Processing;Organismal Systems;Human Diseases;Cellular Processes,HIF1A
3418,ko04146//Peroxisome;ko01230//Biosynthesis of amino acids;ko01210//2-Oxocarboxylic acid metabolism;ko00020//Citrate cycle (TCA cycle);ko00480//Glutathione metabolism;ko01100//Metabolic pathways;ko01200//Carbon metabolism,Metabolism of other amino acids;Transport and catabolism;Carbohydrate metabolism;Global and overview maps,Cellular Processes;Metabolism,IDH2
3696,ko05165//Human papillomavirus infection;ko04810//Regulation of actin cytoskeleton;ko05410//Hypertrophic cardiomyopathy (HCM);ko04512//ECM-receptor interaction;ko04510//Focal adhesion;ko05414//Dilated cardiomyopathy (DCM);ko04151//PI3K-Akt signaling pathway;ko04514//Cell adhesion molecules (CAMs);ko05412//Arrhythmogenic right ventricular cardiomyopathy (ARVC),Signaling molecules and interaction;Cardiovascular diseases;Cellular community - eukaryotes;Cell motility;Infectious diseases: Viral;Signal transduction,Environmental Information Processing;Human Diseases;Cellular Processes,ITGB8
