GeneID	FK.FPKM	HN.FPKM	log2.HN.FK.	Qvalue.FK.vs.HN.	Pvalue.FK.vs.HN.	Other.Gene.ID	Transcripts	Gene.Type	Transcripts.Number	FK2.FPKM	FK4.FPKM	FK5.FPKM	HN1.FPKM	HN2.FPKM	HN3.FPKM	HN4.FPKM	HN5.FPKM
100	14.87	1.348	-3.92333395669071	5.78617741996996e-299	6.05842091929889e-299	ADA	NM_000022.3,NM_001322051.1,NM_001322050.1,BGI_novel_T024699,BGI_novel_T024698,BGI_novel_T024697	Known_gene	6	12.23	2.69	29.69	1.1	3.05	1.62	0.97	0
100130733	33.106	6.232	-2.29762039193375	0	0	LRRC70	NM_181506.4,BGI_novel_T031460,BGI_novel_T031459	Known_gene	3	31.15	25.81	42.36	0.86	12.88	6.07	1.23	10.12
100134938	48.763	10.396	-2.06299972100815	0	0	UPK3BL	NM_001114403.2	Known_gene	1	8.29	107.29	30.71	13.3	18.5	0.49	9.93	9.76
10019	7.92	1.74	-2.24095322433903	2.01366312143043e-283	2.19836878114819e-283	SH2B3	NM_001291424.1,XM_005253819.4,XM_011537719.2,XM_011537720.2,XM_011537721.2,NM_005475.2,XM_006719180.3,BGI_novel_T009903,XM_005253818.4	Known_gene	9	14.67	0.41	8.68	2.49	2.48	2.17	1.18	0.38
100289678	4.853	1.252	-2.00194347186217	1.92335415997375e-133	3.60794081566917e-133	ZNF783	XM_011515701.2,NM_001195220.1	Known_gene	2	4.66	3.95	5.95	0.87	1.19	2.03	0.56	1.61
1003	31.273	7.23	-2.32554799236739	0	0	CDH5	BGI_novel_T015239,XM_011522801.1,BGI_novel_T015240,NM_001795.4	Known_gene	4	24.16	3.42	66.24	7.77	5.78	7.98	13.22	1.4
10044	12.566	3.48	-2.07456526920382	8.07403854411674e-247	9.91335973058143e-247	SH2D3C	XM_011518115.1,NM_005489.3,NM_001142533.1,NM_001142534.1,XM_017014174.1,XM_011518114.1,XM_005251639.1,BGI_novel_T040537,NM_001252334.1,BGI_novel_T040539,NM_001142531.1,NM_170600.2,NM_001142532.1,XM_011518117.2,BGI_novel_T040538	Known_gene	15	5.18	0	32.52	1.65	2.95	3.16	6.46	3.18
100506144	124.86	30.212	-2.14216861282092	0	0	TMEM35B	NM_001195156.1	Known_gene	1	197	42.65	134.93	26.55	38.56	17.81	29.84	38.3
100528032	10.933	1.6	-2.7651346982276	5.28911063220656e-198	7.63201899523447e-198	KLRC4-KLRK1	BGI_novel_T008470,NM_001199805.1,BGI_novel_T008469,BGI_novel_T008471,BGI_novel_T008468	Known_gene	5	11.43	17.2	4.17	0.29	3.57	3.71	0.43	0
100913187	17.386	1.46	-3.31462367175051	3.70839543188377e-149	6.48796715261762e-149	APOBEC3A_B	NM_001193289.1	Known_gene	1	2.49	46.89	2.78	0.51	4.99	1.8	0	0
10093	337.15	73.24	-2.02860659079362	0	0	ARPC4	NM_001024960.2,NM_001024959.2,NM_001198780.1,NM_005718.4	Known_gene	4	151.05	667.39	193.01	72.72	92.45	65.69	62.82	72.52
10095	142.543	31.038	-2.3712047731333	0	0	ARPC1B	XM_006715825.1,NM_005720.3,XM_006715826.1	Known_gene	3	90.42	40.87	296.34	27.85	51.12	23.59	25.92	26.71
1012	105.956	10.058	-3.44701052169088	0	0	CDH13	NM_001220491.1,BGI_novel_T015602,XM_017022849.1,NM_001220490.1,NM_001220492.1,XM_011522804.2,NM_001257.4,NM_001220489.1,BGI_novel_T015601,XM_017022848.1,NM_001220488.1	Known_gene	11	60.85	85.5	171.52	11.32	25.27	6.19	5.05	2.46
10186	76.82	6.916	-3.52697722525055	0	0	LHFP	BGI_novel_T010639,NM_005780.2,XM_011534861.1	Known_gene	3	131.28	17.72	81.46	4.16	5.18	7.51	13.07	4.66
10194	15.243	3.148	-2.39332870363571	0	0	TSHZ1	NM_001308210.1,XM_005266641.3,NM_005786.5	Known_gene	3	22.68	4.93	18.12	2.45	2.93	4.87	3.61	1.88
10252	42.44	10.42	-2.09119626484443	0	0	SPRY1	XM_017007635.1,NM_199327.2,NM_005841.2,XM_005262686.1,NM_001258039.1,NM_001258038.1	Known_gene	6	51.68	27.45	48.19	11.94	21.62	6.69	5.9	5.95
10266	127.903	26.662	-2.43570426815913	0	0	RAMP2	BGI_novel_T016832,NM_005854.2	Known_gene	2	91.59	24.66	267.46	9.93	50.68	30	39.97	2.73
10267	48.093	4.666	-3.55724016184592	0	0	RAMP1	NM_005855.3,BGI_novel_T023946,NM_001308353.1,XM_017003155.1,XM_017003153.1,XM_017003156.1,XM_017003154.1,XM_017003152.1	Known_gene	8	35.54	10.35	98.39	5.22	12.54	2.03	3.54	0
10272	5	1.252	-2.24983049658666	6.0664238165485e-98	1.37535220285168e-97	FSTL3	NM_005860.2,BGI_novel_T018834	Known_gene	2	4.85	0.04	10.11	1.58	1.3	0.31	3.07	0
102724229	6.453	1.604	-2.08232642311689	1.41286139071857e-111	2.95867491931956e-111	LOC102724229	BGI_novel_T036734,XM_006716222.3	Known_gene	2	3.85	3.71	11.8	0.83	5.83	0	1.1	0.26
1028	15.513	2.802	-2.24315763583696	1.01138612161595e-107	2.16468731219805e-107	CDKN1C	NM_001122631.1,XM_017017088.1,BGI_novel_T006277,XM_005252732.4,NM_001122630.1,NM_000076.2,BGI_novel_T006278	Known_gene	7	16.64	23.7	6.2	1.99	6.64	2.31	1.42	1.65
10319	3.826	1.076	-2.02337678979259	1.84542140431238e-166	3.02298998253221e-166	LAMC3	NM_006059.3,XM_011518121.1,XM_006716921.2	Known_gene	3	2.86	0.46	8.16	0.05	2.6	0.26	0.08	2.39
10351	24.4	1.144	-4.79692106618926	0	0	ABCA8	NM_007168.3,BGI_novel_T017473,XM_011524192.2,NM_001288986.1,XM_005256940.4,BGI_novel_T017474,BGI_novel_T017472,XM_005256938.2,XM_011524191.2,NM_001288985.1	Known_gene	10	44.51	12.7	15.99	0.57	4.37	0.01	0.77	0
1036	16.81	3.066	-2.5479426423154	6.75068164468814e-209	9.35969858585624e-209	CDO1	NM_001323567.1,NM_001801.2,NM_001323565.1,NM_001323566.1	Known_gene	4	24.16	12.01	14.26	0.58	12.75	1.2	0.8	0
10365	15.463	2.022	-3.09988798384919	0	0	KLF2	NM_016270.3	Known_gene	1	12.32	4.63	29.44	1.77	3.62	1.23	3.37	0.12
10379	63.683	17.744	-2.00837338687848	0	0	IRF9	NM_006084.4,BGI_novel_T011470	Known_gene	2	79.99	9.86	101.2	19.11	19.7	16.64	25.21	8.06
10395	43.26	6.936	-2.80906341457584	0	0	DLC1	NM_001348081.1,NM_182643.2,XM_017012952.1,NM_001348084.1,NM_006094.4,BGI_novel_T000334,NM_024767.3,XM_017012951.1,NM_001348082.1,NM_001164271.1,BGI_novel_T037544,NM_001348083.1,NM_001316668.1,XM_005273374.1,BGI_novel_T000337,BGI_novel_T037543,BGI_novel_T000335,BGI_novel_T000336	Known_gene	18	49.78	20.75	59.25	5.37	14.31	2.7	4.07	8.23
10398	139.896	14.46	-3.43530130990437	0	0	MYL9	NM_181526.2,NM_006097.4	Known_gene	2	78.9	58.47	282.32	15.82	15.24	14.28	15.19	11.77
10410	1727.68	236.346	-3.01318603713941	0	0	IFITM3	NM_021034.2	Known_gene	1	1487.98	621.4	3073.66	199.17	373.77	148.61	261.96	198.22
10411	14.62	3.534	-2.19756589492349	0	0	RAPGEF3	NM_001098532.2,XM_005268571.3,BGI_novel_T008831,BGI_novel_T008832,XM_017018688.1,NM_001098531.2,NM_006105.5,XM_011537758.2,XM_011537752.1,XM_011537755.1	Known_gene	10	6.13	2.33	35.4	2.92	4.02	2.11	6.07	2.55
10417	25.883	5.56	-2.36068800197305	0	0	SPON2	NM_012445.3,NM_001199021.1,NM_001128325.2,BGI_novel_T029070	Known_gene	4	14.57	9.38	53.7	6.23	3	4.25	5.05	9.27
10418	16.906	3.678	-2.27500004868021	0	0	SPON1	NM_006108.3,BGI_novel_T006482,BGI_novel_T006480,BGI_novel_T006483,BGI_novel_T006481	Known_gene	5	27.31	3.87	19.54	1.23	7.2	0.27	1.43	8.26
1043	76.083	8.596	-3.29015362001209	0	0	CD52	NM_001803.2	Known_gene	1	26.15	73.43	128.67	15.46	10.49	7.9	6.83	2.3
10435	11.023	2.148	-2.57151871628704	1.4872846617173e-199	2.1369397653222e-199	CDC42EP2	NM_006779.3,XM_017017094.1	Known_gene	2	10.43	1.4	21.24	3.41	0	1.73	5.6	0
10516	103.216	17.886	-2.60845050472609	0	0	FBLN5	XM_005267267.3,XM_011536358.1,XM_011536356.1,BGI_novel_T012295,NM_006329.3,XM_011536357.1,XM_017020929.1	Known_gene	7	150.26	19.4	139.99	10.94	13.22	20.8	16.33	28.14
10538	14.536	3.604	-2.14319947748849	2.40361106284064e-93	5.59376950329007e-93	BATF	BGI_novel_T012115,NM_006399.3,BGI_novel_T012114	Known_gene	3	9.87	6.77	26.97	5.66	7.19	1.18	1.33	2.66
10544	28.383	4.38	-2.58896366826252	2.51509693631881e-306	2.58823029843557e-306	PROCR	NM_006404.4,BGI_novel_T024527,BGI_novel_T024528,XM_011528496.1	Known_gene	4	31.32	0.65	53.18	3.06	8.98	3.53	3.83	2.5
10561	21.043	5.764	-2.00219067022047	1.70702966952871e-252	2.0511971217422e-252	IFI44	XM_011540516.2,NM_006417.4,XM_017000083.1,XM_005270380.3,BGI_novel_T002012,BGI_novel_T002010,BGI_novel_T002011,BGI_novel_T002009	Known_gene	8	38.06	9.49	15.58	5.17	8.3	4	11.18	0.17
10581	829.31	93.976	-3.2801727080971	0	0	IFITM2	BGI_novel_T006176,NM_006435.2	Known_gene	2	739.74	263.61	1484.58	45.49	163.68	61.21	109.68	89.82
10630	10.256	1.464	-2.7719256867908	1.74494868167759e-266	2.01701266640552e-266	PDPN	NM_001006624.1,NM_001006625.1,NM_198389.2,XM_006710295.1,BGI_novel_T000740,NM_006474.4	Known_gene	6	10.9	5.73	14.14	0.28	3.01	1.06	1.23	1.74
10631	84.563	21.282	-2.04043427106239	0	0	POSTN	NM_001135935.1,XM_005266232.2,NM_001286667.1,BGI_novel_T010628,NM_006475.2,XM_005266231.2,NM_001286666.1,NM_001286665.1,NM_001135934.1,NM_001135936.1,XM_017020356.1,XM_017020355.1	Known_gene	12	179.35	49.68	24.66	10.17	77.06	4.91	4.16	10.11
10750	6.54	1.666	-2.17853751026235	1.79334748268632e-103	3.93410695727602e-103	GRAP	NM_006613.3,XM_017024030.1,XM_017024029.1	Known_gene	3	4.46	0	15.16	0.85	0	1.24	0.58	5.66
10791	250.236	12.628	-4.47420117971465	0	0	VAMP5	NM_006634.2	Known_gene	1	212.83	65.47	472.41	14.89	20.24	7	14.15	6.86
10850	51.176	8.752	-2.53014569582729	7.50215229864252e-127	1.45737961015374e-126	CCL27	NM_006664.3	Known_gene	1	5.56	145.33	2.64	1.84	1.5	38.52	1.49	0.41
10870	23.693	5.256	-2.27941912196807	9.97956034557834e-70	2.77037093025855e-69	HCST	BGI_novel_T019786,XM_017026193.1,BGI_novel_T019785,NM_014266.3,NM_001007469.1	Known_gene	5	11.27	35.33	24.48	4.04	7.73	5.46	3.86	5.19
10874	47.846	4.932	-3.06728600861323	1.08709994614124e-269	1.24487231517785e-269	NMU	NM_001292045.1,XM_011534367.2,NM_001292046.1,XM_011534368.2,NM_006681.3	Known_gene	5	2.35	140.37	0.82	5.11	0	8.94	10.23	0.38
10875	60.016	11.51	-2.42923984150954	0	0	FGL2	NM_006682.2	Known_gene	1	124.16	20.06	35.83	2.08	31.2	6.3	10.12	7.85
10894	50.066	8.674	-2.63410758887123	0	0	LYVE1	BGI_novel_T006445,NM_006691.3	Known_gene	2	68.94	11.17	70.09	1.92	29.9	0.33	2.16	9.06
109	10.053	1.012	-3.5306518174413	0	0	ADCY3	XM_011532493.1,XM_006711925.1,XM_017003187.1,XM_017003193.1,XM_011532496.1,XM_017003189.1,XM_011532494.1,XM_011532490.1,XM_017003190.1,XM_011532489.1,XM_011532492.2,XM_011532491.1,NM_001320613.1,XM_017003186.1,XM_017003192.1,BGI_novel_T021127,NM_004036.4,XM_017003191.1,XM_017003188.1,BGI_novel_T021128	Known_gene	20	16.36	0.07	13.73	1.38	0.95	0.57	0.81	1.35
10964	32.17	7.322	-2.3994244754857	0	0	IFI44L	XM_011540539.2,XM_006710304.3,XM_005270391.3,XM_005270393.4,NM_006820.3,XM_017000120.1,XM_005270392.4	Known_gene	7	55.04	16.78	24.69	2.38	12.61	6.62	7.41	7.59
10974	2198.106	502.826	-2.21451421919513	0	0	ADIRF	NM_006829.2	Known_gene	1	1458.89	2102.83	3032.6	666.41	551.77	455.12	456.23	384.6
11000	5.28	1.308	-2.12112777412453	3.61394045408343e-88	8.73896810798536e-88	SLC27A3	NM_001317929.1,NM_024330.1	Known_gene	2	6.47	2.29	7.08	2.01	0.65	0.67	0.89	2.32
11005	144.463	15.866	-2.92991150610247	0	0	SPINK5	NM_001127699.1,BGI_novel_T032363,NM_006846.3,XM_011537551.2,NM_001127698.1	Known_gene	5	6.07	420.79	6.53	18.03	3.01	37.43	11.74	9.12
11035	9.4	2.128	-2.37772502487109	1.22044042144673e-148	2.13770992735219e-148	RIPK3	NM_006871.3	Known_gene	1	7.35	1.16	19.69	5.15	0.36	3.44	1.69	0
11067	608.463	169.814	-2.1000751807573	0	0	C10orf10	NM_007021.3	Known_gene	1	133.73	15.99	1675.67	163.42	185.13	283.87	109.57	107.08
11069	7.1	1.27	-2.51235523047378	9.99048542241365e-267	1.15173723417657e-266	RAPGEF4	XM_005246246.2,XM_006712205.3,BGI_novel_T023078,NM_001100397.1,XM_017003196.1,NM_001282901.1,NM_007023.3,NM_001282900.1,NM_001282899.1,XM_011510505.2,XM_017003197.1,BGI_novel_T023077	Known_gene	12	11.08	0.07	10.15	1.15	2.33	0.81	1.95	0.11
11151	23.29	1.814	-3.90775331424544	0	0	CORO1A	XM_017022886.1,NM_007074.3,XM_011545714.2,XM_017022885.1,BGI_novel_T014837,NM_001193333.2	Known_gene	6	7.76	1.36	60.75	0	0.04	3.09	3.12	2.82
11167	211.973	32.882	-2.7738253574107	0	0	FSTL1	NM_007085.4	Known_gene	1	418.8	41.19	175.93	17.12	84.33	13.47	19.87	29.62
11170	21.743	3.04	-2.90369388336338	0	0	FAM107A	BGI_novel_T027422,NM_001282713.1,NM_001282714.1,NM_007177.3,NM_001076778.2	Known_gene	5	14.58	2.84	47.81	1.38	3.33	2.73	3.81	3.95
11185	75.156	5.222	-3.82777378297949	0	0	INMT	NM_006774.4,BGI_novel_T035681,NM_001199219.1	Known_gene	3	51.62	92.21	81.64	5.26	6.85	5.37	6	2.63
11200	13.446	2.374	-2.20962663557203	2.48521346393573e-109	5.2757552713189e-109	CHEK2	XM_011529841.1,XM_017028560.1,XM_011529839.2,XM_011529843.1,XM_017028561.1,NM_001005735.1,BGI_novel_T025849,BGI_novel_T025846,XM_011529840.2,XM_011529845.2,NM_007194.3,XM_011529842.2,XM_006724114.3,NM_145862.2,XM_011529844.2,XM_006724116.2,BGI_novel_T025848,NM_001257387.1,BGI_novel_T025847	Known_gene	19	9.02	25.54	5.78	2	3.01	4.49	2.32	0.05
11202	283.756	36.574	-2.54948972839018	0	0	KLK8	NM_144505.2,NM_144507.2,NM_144506.2,NM_001281431.1,NM_007196.3	Known_gene	5	17.46	795.18	38.63	71.3	34.98	45.12	29.78	1.69
11211	8.62	1.542	-2.57896404808448	2.23892585119318e-242	2.77771134270948e-242	FZD10	NM_007197.3	Known_gene	1	15.77	2.87	7.22	3.04	3.17	1	0.48	0.02
