#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
VEGFC	KDR	4451445	4435337	9606.ENSP00000480043	9606.ENSP00000263923	0	0	0	0	0.059	0.889	0.900	0.914	0.999
CXCR4	CXCL12	4447439	4446453	9606.ENSP00000386884	9606.ENSP00000379140	0	0	0	0	0	0.457	0.900	0.971	0.998
CDH5	KDR	4441389	4435337	9606.ENSP00000344115	9606.ENSP00000263923	0	0	0	0	0.231	0.472	0.900	0.939	0.997
GNG2	GNAI2	4440566	4438833	9606.ENSP00000334448	9606.ENSP00000312999	0	0	0	0	0.062	0.964	0.900	0.271	0.997
CACNA2D1	CACNB2	4441912	4439325	9606.ENSP00000349320	9606.ENSP00000320025	0	0	0	0	0.063	0.799	0.900	0.794	0.995
CXCL12	ACKR3	4446453	4436051	9606.ENSP00000379140	9606.ENSP00000272928	0	0	0	0	0.069	0.162	0.900	0.943	0.995
IL15RA	IL2RG	4446659	4444340	9606.ENSP00000380421	9606.ENSP00000363318	0	0	0	0	0.077	0.899	0.900	0.500	0.994
PTPRC	CXCR4	4448605	4447439	9606.ENSP00000411355	9606.ENSP00000386884	0	0	0	0	0.224	0.379	0.900	0.829	0.990
NCF4	RAC2	4446646	4434085	9606.ENSP00000380334	9606.ENSP00000249071	0	0	0	0	0.306	0.241	0.900	0.757	0.985
PGF	KDR	4450339	4435337	9606.ENSP00000451040	9606.ENSP00000263923	0	0	0	0	0	0.080	0.900	0.840	0.984
IRF7	OAS3	4446700	4433439	9606.ENSP00000380697	9606.ENSP00000228928	0	0	0	0	0.633	0	0.900	0.603	0.984
HLA-A	HLA-C	4446577	4444694	9606.ENSP00000379873	9606.ENSP00000365402	0	0	0	0.980	0.394	0.754	0.900	0.922	0.984
CXCL12	CCL20	4446453	4442174	9606.ENSP00000379140	9606.ENSP00000351671	0	0	0	0	0	0.546	0.900	0.674	0.983
CXCR4	CD4	4447439	4432588	9606.ENSP00000386884	9606.ENSP00000011653	0	0	0	0	0.087	0.393	0.900	0.739	0.983
CCL4	CCL3	4451651	4451253	9606.ENSP00000482259	9606.ENSP00000477908	0	0	0	0.954	0.974	0.379	0	0.941	0.983
CCL5	CXCR4	4451102	4447439	9606.ENSP00000474412	9606.ENSP00000386884	0	0	0	0	0.061	0.050	0.900	0.832	0.983
CXCL12	CCL21	4446453	4434713	9606.ENSP00000379140	9606.ENSP00000259607	0	0	0	0	0.098	0.221	0.900	0.790	0.983
PTPRC	CD4	4448605	4432588	9606.ENSP00000411355	9606.ENSP00000011653	0	0	0	0	0.304	0.379	0.900	0.639	0.982
HSPA1A	HSPA1B	4444600	4444599	9606.ENSP00000364802	9606.ENSP00000364801	0	0	0.449	0.988	0.139	0.800	0.900	0.539	0.981
CACNA2D1	CACNB3	4441912	4437715	9606.ENSP00000349320	9606.ENSP00000301050	0	0	0	0	0.062	0.380	0.900	0.716	0.981
IGF1	MAPK3	4437883	4435180	9606.ENSP00000302665	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.821	0.981
CCL5	CXCL12	4451102	4446453	9606.ENSP00000474412	9606.ENSP00000379140	0	0	0	0	0	0.201	0.900	0.791	0.981
IL2RG	IL7	4444340	4435326	9606.ENSP00000363318	9606.ENSP00000263851	0	0	0	0	0.061	0.379	0.900	0.711	0.980
CCL5	CCL20	4451102	4442174	9606.ENSP00000474412	9606.ENSP00000351671	0	0	0	0	0.133	0.219	0.900	0.738	0.979
HSPA1A	HSPB1	4444600	4434059	9606.ENSP00000364802	9606.ENSP00000248553	0	0	0	0	0.092	0.127	0.900	0.771	0.979
IGF1	HGF	4437883	4433227	9606.ENSP00000302665	9606.ENSP00000222390	0	0	0	0	0.061	0	0.900	0.785	0.978
CCL5	CCL27	4451102	4434715	9606.ENSP00000474412	9606.ENSP00000259631	0	0	0	0	0	0.525	0.900	0.560	0.977
CXCL12	CCL19	4446453	4438451	9606.ENSP00000379140	9606.ENSP00000308815	0	0	0	0	0.100	0	0.900	0.759	0.976
IRF7	IRF9	4446700	4446606	9606.ENSP00000380697	9606.ENSP00000380073	0	0	0	0.633	0.651	0	0.900	0.870	0.975
CCL5	CCL21	4451102	4434713	9606.ENSP00000474412	9606.ENSP00000259607	0	0	0	0	0.062	0.207	0.900	0.669	0.972
CCL20	CCL19	4442174	4438451	9606.ENSP00000351671	9606.ENSP00000308815	0	0	0	0	0.085	0	0.900	0.711	0.971
ELMO1	RAC2	4438759	4434085	9606.ENSP00000312185	9606.ENSP00000249071	0	0	0	0	0	0.350	0.900	0.590	0.971
IRF7	TLR4	4446700	4444300	9606.ENSP00000380697	9606.ENSP00000363089	0	0	0	0	0.084	0	0.900	0.708	0.970
CCL4	CXCR4	4451651	4447439	9606.ENSP00000482259	9606.ENSP00000386884	0	0	0	0	0.099	0.124	0.900	0.674	0.970
CCL4	CCL20	4451651	4442174	9606.ENSP00000482259	9606.ENSP00000351671	0	0	0	0	0.099	0	0.900	0.698	0.970
IRF7	GBP1	4446700	4443543	9606.ENSP00000380697	9606.ENSP00000359504	0	0	0	0	0.258	0.189	0.900	0.547	0.969
HLA-E	HLA-F	4444757	4434738	9606.ENSP00000365817	9606.ENSP00000259951	0	0	0	0.972	0.141	0.663	0.900	0.792	0.969
CXCR4	CCL21	4447439	4434713	9606.ENSP00000386884	9606.ENSP00000259607	0	0	0	0	0.062	0.050	0.900	0.702	0.969
HLA-C	HLA-F	4444694	4434738	9606.ENSP00000365402	9606.ENSP00000259951	0	0	0	0.974	0.137	0.670	0.900	0.703	0.969
MNDA	PYCARD	4443045	4434024	9606.ENSP00000357123	9606.ENSP00000247470	0	0	0	0	0.116	0.091	0.900	0.648	0.968
