Gene ID,Pathway Name,Level 2,Level 1,Other Gene ID
100271927,ko04014//Ras signaling pathway,Signal transduction,Environmental Information Processing,RASA4B
100289279,ko04514//Cell adhesion molecules (CAMs),Signaling molecules and interaction,Environmental Information Processing,LOC100289279
1003,ko05418//Fluid shear stress and atherosclerosis;ko04514//Cell adhesion molecules (CAMs);ko04670//Leukocyte transendothelial migration,Signaling molecules and interaction;Immune system;Cardiovascular diseases,Human Diseases;Environmental Information Processing;Organismal Systems,CDH5
10156,ko04014//Ras signaling pathway,Signal transduction,Environmental Information Processing,RASA4
10379,ko05164//Influenza A;ko05167//Kaposi sarcoma-associated herpesvirus infection;ko05162//Measles;ko05169//Epstein-Barr virus infection;ko04380//Osteoclast differentiation;ko05160//Hepatitis C;ko04621//NOD-like receptor signaling pathway;ko05203//Viral carcinogenesis;ko05165//Human papillomavirus infection;ko05168//Herpes simplex infection;ko04625//C-type lectin receptor signaling pathway;ko04630//Jak-STAT signaling pathway;ko04217//Necroptosis,Infectious diseases: Viral;Development;Immune system;Cell growth and death;Signal transduction;Cancers: Overview,Cellular Processes;Human Diseases;Organismal Systems;Environmental Information Processing,IRF9
10398,ko04270//Vascular smooth muscle contraction;ko04670//Leukocyte transendothelial migration;ko04024//cAMP signaling pathway;ko04022//cGMP-PKG signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04530//Tight junction;ko04510//Focal adhesion;ko04921//Oxytocin signaling pathway;ko04360//Axon guidance,Immune system;Cell motility;Endocrine system;Signal transduction;Circulatory system;Development;Cellular community - eukaryotes,Cellular Processes;Organismal Systems;Environmental Information Processing,MYL9
10418,ko05144//Malaria;ko04145//Phagosome;ko03018//RNA degradation;ko04970//Salivary secretion;ko05205//Proteoglycans in cancer;ko04140//Autophagy - animal;ko04350//TGF-beta signaling pathway;ko05146//Amoebiasis;ko04015//Rap1 signaling pathway;ko04611//Platelet activation;ko04115//p53 signaling pathway;ko04151//PI3K-Akt signaling pathway;ko05206//MicroRNAs in cancer;ko04512//ECM-receptor interaction;ko05165//Human papillomavirus infection;ko04510//Focal adhesion;ko04137//Mitophagy - animal;ko04974//Protein digestion and absorption;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko05219//Bladder cancer;ko04926//Relaxin signaling pathway,"Infectious diseases: Parasitic;Endocrine system;Immune system;Transport and catabolism;Cancers: Overview;Cancers: Specific types;Infectious diseases: Viral;Digestive system;Folding, sorting and degradation;Signal transduction;Cellular community - eukaryotes;Endocrine and metabolic diseases;Signaling molecules and interaction;Cell growth and death",Genetic Information Processing;Cellular Processes;Environmental Information Processing;Organismal Systems;Human Diseases,SPON1
109,"ko04725//Cholinergic synapse;ko04913//Ovarian steroidogenesis;ko04916//Melanogenesis;ko04062//Chemokine signaling pathway;ko04714//Thermogenesis;ko04270//Vascular smooth muscle contraction;ko05414//Dilated cardiomyopathy (DCM);ko04911//Insulin secretion;ko05163//Human cytomegalovirus infection;ko04261//Adrenergic signaling in cardiomyocytes;ko05166//Human T-cell leukemia virus 1 infection;ko04022//cGMP-PKG signaling pathway;ko04912//GnRH signaling pathway;ko04713//Circadian entrainment;ko04211//Longevity regulating pathway;ko05200//Pathways in cancer;ko04972//Pancreatic secretion;ko04611//Platelet activation;ko04020//Calcium signaling pathway;ko04024//cAMP signaling pathway;ko04918//Thyroid hormone synthesis;ko04962//Vasopressin-regulated water reabsorption;ko04724//Glutamatergic synapse;ko04723//Retrograde endocannabinoid signaling;ko04971//Gastric acid secretion;ko04926//Relaxin signaling pathway;ko04925//Aldosterone synthesis and secretion;ko04970//Salivary secretion;ko05032//Morphine addiction;ko00230//Purine metabolism;ko04927//Cortisol synthesis and secretion;ko04914//Progesterone-mediated oocyte maturation;ko04750//Inflammatory mediator regulation of TRP channels;ko01522//Endocrine resistance;ko04923//Regulation of lipolysis in adipocytes;ko05110//Vibrio cholerae infection;ko04934//Cushing syndrome;ko04015//Rap1 signaling pathway;ko04921//Oxytocin signaling pathway;ko04915//Estrogen signaling pathway;ko04727//GABAergic synapse;ko04371//Apelin signaling pathway;ko04213//Longevity regulating pathway - multiple species;ko04740//Olfactory transduction;ko04976//Bile secretion;ko04928//Parathyroid hormone synthesis, secretion and action;ko04114//Oocyte meiosis;ko04540//Gap junction;ko04072//Phospholipase D signaling pathway",Nervous system;Digestive system;Endocrine and metabolic diseases;Cell growth and death;Substance dependence;Cancers: Overview;Aging;Nucleotide metabolism;Cardiovascular diseases;Excretory system;Signal transduction;Infectious diseases: Bacterial;Immune system;Drug resistance: Antineoplastic;Endocrine system;Sensory system;Infectious diseases: Viral;Environmental adaptation;Cellular community - eukaryotes;Circulatory system,Metabolism;Organismal Systems;Cellular Processes;Environmental Information Processing;Human Diseases,ADCY3
11035,ko04668//TNF signaling pathway;ko04621//NOD-like receptor signaling pathway;ko04217//Necroptosis;ko04623//Cytosolic DNA-sensing pathway,Immune system;Signal transduction;Cell growth and death,Cellular Processes;Organismal Systems;Environmental Information Processing,RIPK3
11069,ko04911//Insulin secretion;ko04024//cAMP signaling pathway;ko04670//Leukocyte transendothelial migration;ko04015//Rap1 signaling pathway;ko04261//Adrenergic signaling in cardiomyocytes;ko04072//Phospholipase D signaling pathway,Immune system;Endocrine system;Signal transduction;Circulatory system,Organismal Systems;Environmental Information Processing,RAPGEF4
