Gene ID,FK FPKM,HN FPKM,log2(HN/FK),Qvalue(FK-vs-HN),Pvalue(FK-vs-HN),Other Gene ID,Transcripts,Gene Type,Transcripts Number,Start,End,Chr,Strand +/-,Length,Max Length of Transcript,FK2 FPKM,FK4 FPKM,FK5 FPKM,FK6 FPKM,FK7 FPKM,HN1 FPKM,HN2 FPKM,HN3 FPKM,HN4 FPKM,HN5 FPKM
1,4.956,0.336,-4.03551058779193,1.3031915218858197e-122,2.1340486576273898e-122,A1BG,"NM_130786.3,BGI_novel_T019282,BGI_novel_T019283",Known_gene,3,58346806,58362848,chr19,-,16043,3728,4.59,1.46,4.71,11.82,2.2,0.2,0.8,0.29,0.24,0.15
100,14.612,1.3880000000000001,-3.79433051025671,8.616922615444074e-293,8.057338756224615e-293,ADA,"NM_000022.3,NM_001322051.1,NM_001322050.1,BGI_novel_T022755,BGI_novel_T022756",Known_gene,5,44619519,44651758,chr20,-,32240,1558,11.52,2.93,30.29,20.28,8.04,1.1,3.29,1.74,0.81,0.0
1000,0.7040000000000001,0.10800000000000001,-3.04723307281647,1.29247745542506e-31,4.351999456268759e-31,CDH2,"BGI_novel_T016990,NM_001308176.1,NM_001792.4,XM_011525788.1,XM_017025514.1",Known_gene,5,27932878,28177446,chr18,-,244569,4335,2.61,0.03,0.41,0.0,0.47,0.54,0.0,0.0,0.0,0.0
10000,4.898,0.43200000000000005,-3.95299272987171,0.0,0.0,AKT3,"BGI_novel_T004140,BGI_novel_T004139,XM_005272995.2,XM_006711726.3,XM_011544013.2,NM_181690.2,BGI_novel_T004138,XM_011544014.2,XM_005272994.4,NM_005465.4,XM_016999985.1,NM_001206729.1,XM_011544012.2",Known_gene,13,243488233,243851079,chr1,-,362847,17627,7.66,0.72,4.37,3.53,8.21,0.09,0.11,1.64,0.3,0.02
10002,0.19399999999999998,0.5579999999999999,1.47620442177811,6.8613064101893e-07,4.61158234569518e-06,NR2E3,"NM_014249.3,NM_016346.3",Known_gene,2,71810548,71818259,chr15,+,7712,2108,0.49,0.0,0.07,0.03,0.38,0.21,0.12,1.42,0.95,0.09
10003,4.612,1.05,-1.9207345187413098,2.832303908093919e-155,4.047386321947728e-155,NAALAD2,"XM_017017043.1,BGI_novel_T007302,NM_005467.3,BGI_novel_T007303,XM_017017044.1,NM_001300930.1,BGI_novel_T007301,XM_017017045.1,XM_017017046.1",Known_gene,9,90131704,90197847,chr11,+,66144,8614,11.39,0.93,2.9,2.09,5.75,2.12,0.1,1.07,1.07,0.89
10004,5.462000000000001,0.606,-3.12969523300845,5.695216938677517e-182,7.313263527670036e-182,NAALADL1,"BGI_novel_T006846,NM_005468.2,XM_011544707.2,XM_011544706.2,BGI_novel_T006848,XM_011544712.2,BGI_novel_T006847,XM_011544710.2,XM_011544709.2,XM_011544711.2,BGI_novel_T006845,XM_011544708.2,BGI_novel_T006849",Known_gene,13,65044818,65059020,chr11,-,14203,3244,3.28,3.37,12.47,4.19,4.0,0.28,2.1,0.0,0.65,0.0
100049587,1.506,0.0,-9.99431676780324,1.7297610105530094e-85,3.5222034108207e-85,SIGLEC14,"XM_017026113.1,NM_001098612.1",Known_gene,2,51639478,51646879,chr19,-,7402,4876,0.05,0.0,0.53,6.91,0.04,0.0,0.0,0.0,0.0,0.0
10008,3.236,1.9780000000000002,-1.03954861106814,2.4347266646522998e-22,9.698030157062739e-22,KCNE3,"XM_017017048.1,NM_005472.4,XM_017017050.1,XM_017017052.1,XM_017017049.1,XM_011544713.2,XM_017017051.1,XM_017017047.1",Known_gene,8,74454841,74467729,chr11,-,12889,5733,1.98,0.0,3.11,5.3,5.79,4.26,3.82,1.72,0.09,0.0
10009,6.037999999999999,17.654,1.56548363087421,0.0,0.0,ZBTB33,"NM_001184742.1,NM_006777.3",Known_gene,2,120250752,120258396,chrX,+,7645,5308,8.76,5.96,5.62,2.39,7.46,20.45,21.78,15.56,11.65,18.83
