Gene ID,Pathway Name,Level 2,Level 1,Other Gene ID
100506658,ko04530//Tight junction;ko04670//Leukocyte transendothelial migration;ko05130//Pathogenic Escherichia coli infection;ko04514//Cell adhesion molecules (CAMs);ko05160//Hepatitis C,Immune system;Cellular community - eukaryotes;Signaling molecules and interaction;Infectious diseases: Bacterial;Infectious diseases: Viral,Environmental Information Processing;Cellular Processes;Human Diseases;Organismal Systems,OCLN
10207,ko05165//Human papillomavirus infection;ko04530//Tight junction;ko04390//Hippo signaling pathway,Cellular community - eukaryotes;Infectious diseases: Viral;Signal transduction,Environmental Information Processing;Human Diseases;Cellular Processes,PATJ
10451,ko04664//Fc epsilon RI signaling pathway;ko04670//Leukocyte transendothelial migration;ko04660//T cell receptor signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04510//Focal adhesion;ko04062//Chemokine signaling pathway;ko04650//Natural killer cell mediated cytotoxicity;ko04024//cAMP signaling pathway;ko04666//Fc gamma R-mediated phagocytosis;ko04662//B cell receptor signaling pathway,Cellular community - eukaryotes;Cell motility;Signal transduction;Immune system,Environmental Information Processing;Cellular Processes;Organismal Systems,VAV3
1364,ko04670//Leukocyte transendothelial migration;ko04514//Cell adhesion molecules (CAMs);ko05160//Hepatitis C;ko04530//Tight junction,Cellular community - eukaryotes;Infectious diseases: Viral;Signaling molecules and interaction;Immune system,Cellular Processes;Human Diseases;Environmental Information Processing;Organismal Systems,CLDN4
1366,ko04670//Leukocyte transendothelial migration;ko04514//Cell adhesion molecules (CAMs);ko04530//Tight junction;ko05160//Hepatitis C,Signaling molecules and interaction;Cellular community - eukaryotes;Infectious diseases: Viral;Immune system,Cellular Processes;Organismal Systems;Human Diseases;Environmental Information Processing,CLDN7
143458,ko05144//Malaria;ko04918//Thyroid hormone synthesis;ko05010//Alzheimer disease;ko04979//Cholesterol metabolism;ko04340//Hedgehog signaling pathway,Digestive system;Endocrine system;Signal transduction;Infectious diseases: Parasitic;Neurodegenerative diseases,Organismal Systems;Human Diseases;Environmental Information Processing,LDLRAD3
145282,ko05132//Salmonella infection;ko05146//Amoebiasis;ko04151//PI3K-Akt signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04140//Autophagy - animal;ko05410//Hypertrophic cardiomyopathy (HCM);ko04024//cAMP signaling pathway;ko04611//Platelet activation;ko04921//Oxytocin signaling pathway;ko04022//cGMP-PKG signaling pathway;ko05131//Shigellosis;ko05414//Dilated cardiomyopathy (DCM);ko05216//Thyroid cancer;ko05200//Pathways in cancer;ko05163//Human cytomegalovirus infection;ko04062//Chemokine signaling pathway;ko04270//Vascular smooth muscle contraction;ko04360//Axon guidance;ko04510//Focal adhesion;ko04530//Tight junction;ko04071//Sphingolipid signaling pathway;ko04261//Adrenergic signaling in cardiomyocytes;ko05145//Toxoplasmosis;ko04670//Leukocyte transendothelial migration;ko04310//Wnt signaling pathway;ko05222//Small cell lung cancer;ko04137//Mitophagy - animal;ko05130//Pathogenic Escherichia coli infection;ko05205//Proteoglycans in cancer;ko04512//ECM-receptor interaction;ko05165//Human papillomavirus infection;ko04260//Cardiac muscle contraction,Signal transduction;Signaling molecules and interaction;Cancers: Specific types;Development;Endocrine system;Cardiovascular diseases;Transport and catabolism;Cancers: Overview;Infectious diseases: Parasitic;Circulatory system;Immune system;Cell motility;Infectious diseases: Bacterial;Infectious diseases: Viral;Cellular community - eukaryotes,Human Diseases;Organismal Systems;Environmental Information Processing;Cellular Processes,MIPOL1
147645,ko05168//Herpes simplex infection;ko04514//Cell adhesion molecules (CAMs);ko04520//Adherens junction,Infectious diseases: Viral;Signaling molecules and interaction;Cellular community - eukaryotes,Cellular Processes;Environmental Information Processing;Human Diseases,VSIG10L
148327,"ko05215//Prostate cancer;ko05034//Alcoholism;ko04918//Thyroid hormone synthesis;ko04911//Insulin secretion;ko05161//Hepatitis B;ko04151//PI3K-Akt signaling pathway;ko04922//Glucagon signaling pathway;ko04714//Thermogenesis;ko04916//Melanogenesis;ko04927//Cortisol synthesis and secretion;ko04928//Parathyroid hormone synthesis, secretion and action;ko05030//Cocaine addiction;ko04931//Insulin resistance;ko04668//TNF signaling pathway;ko04934//Cushing syndrome;ko05163//Human cytomegalovirus infection;ko05016//Huntington disease;ko05165//Human papillomavirus infection;ko04728//Dopaminergic synapse;ko05031//Amphetamine addiction;ko04926//Relaxin signaling pathway;ko05203//Viral carcinogenesis;ko04925//Aldosterone synthesis and secretion;ko05166//Human T-cell leukemia virus 1 infection;ko04152//AMPK signaling pathway;ko04725//Cholinergic synapse;ko04261//Adrenergic signaling in cardiomyocytes;ko04211//Longevity regulating pathway;ko04915//Estrogen signaling pathway;ko04962//Vasopressin-regulated water reabsorption;ko04022//cGMP-PKG signaling pathway;ko04024//cAMP signaling pathway",Cancers: Overview;Endocrine system;Endocrine and metabolic diseases;Nervous system;Infectious diseases: Viral;Excretory system;Signal transduction;Aging;Environmental adaptation;Cancers: Specific types;Neurodegenerative diseases;Circulatory system;Substance dependence,Organismal Systems;Environmental Information Processing;Human Diseases,CREB3L4
153562,ko04530//Tight junction,Cellular community - eukaryotes,Cellular Processes,MARVELD2
2064,ko05206//MicroRNAs in cancer;ko04020//Calcium signaling pathway;ko05226//Gastric cancer;ko04066//HIF-1 signaling pathway;ko01524//Platinum drug resistance;ko04151//PI3K-Akt signaling pathway;ko04510//Focal adhesion;ko05212//Pancreatic cancer;ko05200//Pathways in cancer;ko05205//Proteoglycans in cancer;ko04010//MAPK signaling pathway;ko01521//EGFR tyrosine kinase inhibitor resistance;ko05213//Endometrial cancer;ko05224//Breast cancer;ko04530//Tight junction;ko04520//Adherens junction;ko05223//Non-small cell lung cancer;ko01522//Endocrine resistance;ko05230//Central carbon metabolism in cancer;ko05215//Prostate cancer;ko04012//ErbB signaling pathway;ko05219//Bladder cancer,Signal transduction;Drug resistance: Antineoplastic;Cancers: Overview;Cancers: Specific types;Cellular community - eukaryotes,Environmental Information Processing;Cellular Processes;Human Diseases,ERBB2
214,ko04514//Cell adhesion molecules (CAMs),Signaling molecules and interaction,Environmental Information Processing,ALCAM
2203,ko01100//Metabolic pathways;ko00030//Pentose phosphate pathway;ko00051//Fructose and mannose metabolism;ko00010//Glycolysis / Gluconeogenesis;ko04152//AMPK signaling pathway;ko01200//Carbon metabolism;ko04910//Insulin signaling pathway,Endocrine system;Global and overview maps;Carbohydrate metabolism;Signal transduction,Metabolism;Environmental Information Processing;Organismal Systems,FBP1
255104,ko04152//AMPK signaling pathway;ko00620//Pyruvate metabolism;ko04910//Insulin signaling pathway;ko00640//Propanoate metabolism;ko04922//Glucagon signaling pathway;ko00061//Fatty acid biosynthesis;ko05204//Chemical carcinogenesis;ko01212//Fatty acid metabolism;ko01100//Metabolic pathways,Carbohydrate metabolism;Endocrine system;Signal transduction;Global and overview maps;Cancers: Overview;Lipid metabolism,Organismal Systems;Human Diseases;Metabolism;Environmental Information Processing,TMCO4
26053,ko05146//Amoebiasis;ko03020//RNA polymerase;ko01522//Endocrine resistance;ko05226//Gastric cancer;ko05202//Transcriptional misregulation in cancer;ko05168//Herpes simplex infection;ko04919//Thyroid hormone signaling pathway;ko05016//Huntington disease,Neurodegenerative diseases;Infectious diseases: Viral;Cancers: Specific types;Endocrine system;Cancers: Overview;Transcription;Drug resistance: Antineoplastic;Infectious diseases: Parasitic,Genetic Information Processing;Organismal Systems;Human Diseases,AUTS2
