ï..Gene.ID	FK.FPKM	HN.FPKM	log2.HN.FK.	Qvalue.FK.vs.HN.	Pvalue.FK.vs.HN.	Other.Gene.ID	Transcripts	Gene.Type	Transcripts.Number	Start	End	Chr	Strand....	Length	Max.Length.of.Transcript	FK2.FPKM	FK4.FPKM	FK5.FPKM	FK6.FPKM	FK7.FPKM	HN1.FPKM	HN2.FPKM	HN3.FPKM	HN4.FPKM	HN5.FPKM
100129480	1.43	10.23	2.83394884292807	1.771571364707e-114	3.0464181661796e-114	MKRN2OS	BGI_novel_T024513,BGI_novel_T024514,BGI_novel_T024515,BGI_novel_T024511,XM_011533242.2,NM_001195279.1,XM_011533241.2,BGI_novel_T024512,XM_011533243.2,XM_006712909.3	Known_gene	10	12507054	12561227	chr3	-	54174	2875	0.09	2.42	1.21	3.43	0	11.23	16.15	8.12	13.31	2.34
100133941	15.428	103.314	2.9992304091833	0	0	CD24	NM_001291739.1,NM_013230.3,NM_001291738.1,NM_001291737.1	Known_gene	4	106969831	106976855	chr6	-	7025	2513	5.43	58.05	4.66	5.49	3.51	109.7	83.41	79.08	150.14	94.24
10020	1.978	10.83	2.15872555732406	0	0	GNE	NM_005476.5,BGI_novel_T035357,XM_017014167.1,XM_005251334.4,XM_017014168.1,NM_001190384.1,NM_001190388.1,NM_001190383.1,NM_001128227.2	Known_gene	9	36214441	36277056	chr9	-	62616	5703	1.24	0.93	1.4	2.05	4.27	13.8	5.22	15.11	13.43	6.59
10040	3.556	49.078	3.90048010545866	0	0	TOM1L1	NM_001321174.1,NM_001321176.1,NM_001321173.1,NM_005486.2,NM_001321175.1,XM_017024002.1	Known_gene	6	54900691	54961967	chr17	+	61277	2348	3.36	7.35	2.79	1.29	2.99	68.83	26.68	57.99	39.56	52.33
100506658	1.958	16.662	3.16214806330745	0	0	OCLN	NM_001205254.1,BGI_novel_T028662,NM_002538.3,XM_017008913.1,NM_001205255.1,XM_017008914.1	Known_gene	6	69492292	69558104	chr5	+	65813	6438	2.72	1.55	0.58	1.44	3.5	24.56	7.66	11.17	12.59	27.33
10053	4.272	50.908	3.76629206183669	0	0	AP1M2	NM_005498.4,NM_001300887.1	Known_gene	2	10572671	10587315	chr19	-	14645	1757	0.9	15.25	2.46	2.75	0	48.52	39.16	35.84	59.72	71.3
100532726	4.984	32.364	2.56206508391767	0	0	NDUFC2-KCTD14	NM_001203261.1,NM_001203262.1,NM_001203260.1	Known_gene	3	78015715	78080219	chr11	-	64505	2436	2.16	0.18	7.16	8.29	7.13	27.27	25.28	30.47	41.16	37.64
10207	3.9	19.608	2.24480023906926	0	0	PATJ	XM_016999999.1,XM_011540466.2,XM_016999998.1,BGI_novel_T001832,BGI_novel_T001839,XM_011540469.2,NM_176877.2,XM_005270341.3,BGI_novel_T001844,BGI_novel_T001842,XM_011540465.2,BGI_novel_T001834,XM_011540464.2,BGI_novel_T001831,XM_005270347.1,BGI_novel_T001837,XM_011540462.2,BGI_novel_T001833,XM_017000001.1,BGI_novel_T001841,XM_011540467.2,BGI_novel_T001840,BGI_novel_T001835,XM_006710278.3,XM_011540468.2,XM_011540463.2,BGI_novel_T001836,BGI_novel_T001843,XM_017000000.1,XM_011540470.1,BGI_novel_T001838	Known_gene	31	61742477	62163920	chr1	+	421444	9087	2.27	8.5	1.63	2.21	4.89	24.56	22.43	31.86	9.9	9.29
10256	1.65	9.168	3.4280371393176	6.51991062586736e-214	7.55016891823894e-214	CNKSR1	XM_011540484.2,NM_001297648.1,BGI_novel_T001082,BGI_novel_T001081,NM_001297647.1,XM_011540485.2,NM_006314.2	Known_gene	7	26177490	26189884	chr1	+	12395	2557	0.81	6.28	0.5	0	0.66	17.63	5.16	10.34	10.55	2.16
102724720	1.478	4.658	2.02154994340268	6.73180362964041e-49	1.83422995397599e-48	LOC102724720	BGI_novel_T028868,XM_017010129.1,XM_017010128.1	Known_gene	3	95834827	95850058	chr5	+	15232	2226	0.33	6.77	0.05	0.13	0.11	5.12	1.97	3.8	3.54	8.86
