ï..Gene.ID	FK.FPKM	HN.FPKM	log2.HN.FK.	Qvalue.FK.vs.HN.	Pvalue.FK.vs.HN.	Other.Gene.ID	Transcripts	Gene.Type	Transcripts.Number	Start	End	Chr	Strand....	Length	Max.Length.of.Transcript	FK2.FPKM	FK4.FPKM	FK5.FPKM	FK6.FPKM	FK7.FPKM	HN1.FPKM	HN2.FPKM	HN3.FPKM	HN4.FPKM	HN5.FPKM
100	14.612	1.388	-3.79433051025671	8.61692261544407e-293	8.05733875622462e-293	ADA	NM_000022.3,NM_001322051.1,NM_001322050.1,BGI_novel_T022755,BGI_novel_T022756	Known_gene	5	44619519	44651758	chr20	-	32240	1558	11.52	2.93	30.29	20.28	8.04	1.1	3.29	1.74	0.81	0
100127983	11.064	2.786	-2.07507460636331	7.98368876028302e-76	1.74774518044138e-75	C8orf88	NM_001190972.1,XM_017012939.1	Known_gene	2	90958471	90985257	chr8	-	26787	1053	15	5.44	7.98	12.08	14.82	0.46	3.8	2.88	2.5	4.29
100129480	1.43	10.23	2.83394884292807	1.771571364707e-114	3.0464181661796e-114	MKRN2OS	BGI_novel_T024513,BGI_novel_T024514,BGI_novel_T024515,BGI_novel_T024511,XM_011533242.2,NM_001195279.1,XM_011533241.2,BGI_novel_T024512,XM_011533243.2,XM_006712909.3	Known_gene	10	12507054	12561227	chr3	-	54174	2875	0.09	2.42	1.21	3.43	0	11.23	16.15	8.12	13.31	2.34
100130733	28.534	5.428	-2.44544403427391	0	0	LRRC70	NM_181506.4	Known_gene	1	62578735	62581448	chr5	+	2714	2249	23.57	17.97	34.51	24.77	41.85	0.59	8.41	5.49	0.93	11.72
100133941	15.428	103.314	2.9992304091833	0	0	CD24	NM_001291739.1,NM_013230.3,NM_001291738.1,NM_001291737.1	Known_gene	4	106969831	106976855	chr6	-	7025	2513	5.43	58.05	4.66	5.49	3.51	109.7	83.41	79.08	150.14	94.24
10019	9.05	1.85	-2.26899272054483	0	0	SH2B3	NM_001291424.1,XM_005253819.4,XM_011537719.2,XM_011537720.2,XM_011537721.2,BGI_novel_T009382,NM_005475.2,XM_006719180.3,XM_005253818.4,BGI_novel_T009381	Known_gene	10	111405106	111451761	chr12	+	46656	7018	15.57	0.45	9.34	8.99	10.9	2.66	2.78	2.33	1.06	0.42
10020	1.978	10.83	2.15872555732406	0	0	GNE	NM_005476.5,BGI_novel_T035357,XM_017014167.1,XM_005251334.4,XM_017014168.1,NM_001190384.1,NM_001190388.1,NM_001190383.1,NM_001128227.2	Known_gene	9	36214441	36277056	chr9	-	62616	5703	1.24	0.93	1.4	2.05	4.27	13.8	5.22	15.11	13.43	6.59
100271927	6.892	1.324	-2.51647598946073	3.70819662248099e-151	5.38513536250299e-151	RASA4B	XM_017011626.1,NM_001277335.1,XM_017011627.1,XM_005250084.2,BGI_novel_T032989,XM_011515690.1	Known_gene	6	102483139	102517777	chr7	-	34639	3041	3.62	2.33	14.73	1.76	12.02	0.59	1.53	1.52	0.68	2.3
100288332	7.45	1.788	-2.11888412162492	2.06051379343447e-57	5.17966606827481e-57	NPIPA5	XM_011522337.1,XM_011522329.2,BGI_novel_T013524,XM_011522336.2,NM_001277325.1	Known_gene	5	15363624	15381468	chr16	-	17845	1499	8.96	5.41	1.38	8.35	13.15	4.06	1.16	2.18	0.63	0.91
100289279	4.78	1.484	-2.12609110281124	1.7942490817921e-121	2.95541970181737e-121	LOC100289279	BGI_novel_T035431,XM_017015380.1,BGI_novel_T035430,XM_011545672.2,XM_011545673.2,XM_011545674.2	Known_gene	6	61330560	61461349	chr9	+	130790	4354	5.34	4.78	3.82	3.83	6.13	0.95	1.2	1.3	1.52	2.45
