GeneID	FK.FPKM	HN.FPKM	log2.HN.FK.	Qvalue.FK.vs.HN.	Pvalue.FK.vs.HN.	Other.Gene.ID	Transcripts	Gene.Type	Transcripts.Number	FK2.FPKM	FK4.FPKM	FK5.FPKM	HN1.FPKM	HN2.FPKM	HN3.FPKM	HN4.FPKM	HN5.FPKM
100129480	1.136	9.948	3.47957277852813	1.49346024787106e-119	2.99938320064751e-119	MKRN2OS	XM_011533242.2,NM_001195279.1,XM_011533241.2,BGI_novel_T026609,XM_011533243.2,XM_006712909.3	Known_gene	6	0.08	2.21	1.12	10.33	15.01	7.96	14.27	2.17
100129583	3.653	20.288	2.57637320603999	5.3233943858351e-303	5.52192473928189e-303	FAM47E	BGI_novel_T029808,BGI_novel_T029806,NM_001242936.1,BGI_novel_T029807,NM_001136570.2,BGI_novel_T029810,BGI_novel_T029809	Known_gene	7	3.67	3.12	4.17	23.64	17.85	29.57	17.26	13.12
100133941	20.733	96.116	2.49230892645034	0	0	CD24	NM_001291739.1,NM_013230.3,NM_001291738.1,NM_001291737.1	Known_gene	4	5.05	52.95	4.2	102.87	75.63	74.6	146.35	81.13
10020	1.353	10.98	2.88363568389466	0	0	GNE	NM_005476.5,XM_017014167.1,BGI_novel_T039490,XM_005251334.4,XM_017014168.1,NM_001190384.1,NM_001190388.1,NM_001190383.1,NM_001128227.2	Known_gene	9	1.65	1.02	1.39	13.1	5	14.55	13.7	8.55
10040	4.14	45.65	3.5749512014042	0	0	TOM1L1	NM_001321174.1,NM_001321176.1,NM_001321173.1,BGI_novel_T017138,NM_005486.2,NM_001321175.1,XM_017024002.1	Known_gene	7	3.18	6.74	2.5	63.98	24.67	54.76	39.79	45.05
100506658	1.466	12.116	3.13262842216699	0	0	OCLN	NM_001205254.1,NM_002538.3,XM_017008913.1,NM_001205255.1,BGI_novel_T031534,XM_017008914.1	Known_gene	6	2.54	1.42	0.44	18.73	6.36	8.27	9.83	17.39
10053	5.66	47.086	3.30153519408527	0	0	AP1M2	NM_005498.4,NM_001300887.1	Known_gene	2	0.82	13.97	2.19	45.25	35.89	33.25	59.46	61.58
100532726	2.886	30.048	3.16278190203982	0	0	NDUFC2-KCTD14	NM_001203261.1,NM_001203262.1,NM_001203260.1	Known_gene	3	2.02	0.16	6.48	25.36	23.55	29.24	40.65	31.44
10207	3.773	17.692	2.09786613560176	0	0	PATJ	XM_016999999.1,BGI_novel_T001846,XM_011540466.2,BGI_novel_T001845,XM_016999998.1,XM_011540469.2,NM_176877.2,XM_005270341.3,BGI_novel_T001844,XM_011540465.2,XM_011540464.2,XM_005270347.1,BGI_novel_T001847,XM_011540462.2,XM_017000001.1,XM_011540467.2,XM_006710278.3,XM_011540468.2,XM_011540463.2,BGI_novel_T001843,XM_017000000.1,XM_011540470.1	Known_gene	22	2.31	7.56	1.45	21.67	19.67	29.67	9.81	7.64
10256	2.29	8.49	2.85777191030051	1.23215708340561e-152	2.12090179402623e-152	CNKSR1	XM_011540484.2,NM_001297648.1,BGI_novel_T001068,NM_001297647.1,XM_011540485.2,NM_006314.2	Known_gene	6	0.67	5.73	0.47	16.05	4.66	9.5	10.42	1.82
102724720	2.253	8.478	2.77369676958966	3.30899800040633e-174	5.21827295970088e-174	LOC102724720	BGI_novel_T031794,XM_017010129.1,XM_017010128.1,BGI_novel_T031793	Known_gene	4	0.43	6.2	0.13	7.58	3.65	10.25	6.69	14.22
102724788	2.373	20.866	3.31908752834476	0	0	LOC102724788	BGI_novel_T026425,XM_006724935.3,XM_017030170.1,XM_017030167.1,XM_017030169.1,XM_006724936.3,XM_017030166.1,XM_017030168.1	Known_gene	8	0.15	4.48	2.49	42.92	9.59	26.14	22.6	3.08
10402	3.776	20.376	2.31092970332686	0	0	ST3GAL6	NM_001271146.1,BGI_novel_T027677,NM_001323360.1,NM_001323368.1,NM_001271148.1,NM_001323362.1,NM_001323359.1,NM_001271142.1,NM_001323365.1,NM_001271145.1,NM_001323363.1,NM_001271147.1,BGI_novel_T027676,NM_001323367.1,NM_006100.3,NM_001323366.1,NM_001323364.1,NM_001323358.1,NM_001323352.1,NM_001323353.1	Known_gene	20	7.85	0.12	3.36	11.34	13.69	23.07	33.07	20.71
10406	3.096	21.234	2.63928077593008	8.77530071917876e-75	2.33241994911679e-74	WFDC2	NM_006103.3,BGI_novel_T024717	Known_gene	2	0.88	4.42	3.99	23.87	9.39	11.28	51.3	10.33
10451	9.363	67.074	3.0883268221989	0	0	VAV3	XM_005270361.1,XM_005270360.2,NM_006113.4,XM_017000054.1,XM_017000056.1,XM_017000053.1,BGI_novel_T002294,XM_017000055.1,BGI_novel_T002296,NM_001079874.1,BGI_novel_T002295	Known_gene	11	3.02	23.43	1.64	53.64	74.11	67.6	70.73	69.29
