Gene ID,Pathway Name,Level 2,Level 1,Other Gene ID
100130733,ko04360//Axon guidance;ko04611//Platelet activation;ko04640//Hematopoietic cell lineage;ko04514//Cell adhesion molecules (CAMs);ko04512//ECM-receptor interaction,Development;Immune system;Signaling molecules and interaction,Environmental Information Processing;Organismal Systems,LRRC70
1003,ko05418//Fluid shear stress and atherosclerosis;ko04514//Cell adhesion molecules (CAMs);ko04670//Leukocyte transendothelial migration,Cardiovascular diseases;Signaling molecules and interaction;Immune system,Human Diseases;Environmental Information Processing;Organismal Systems,CDH5
10379,ko05162//Measles;ko04380//Osteoclast differentiation;ko05160//Hepatitis C;ko04621//NOD-like receptor signaling pathway;ko05165//Human papillomavirus infection;ko04630//Jak-STAT signaling pathway;ko04217//Necroptosis;ko05164//Influenza A;ko05203//Viral carcinogenesis;ko05168//Herpes simplex infection;ko05167//Kaposi's sarcoma-associated herpesvirus infection,Development;Cell growth and death;Infectious diseases: Viral;Immune system;Signal transduction;Cancers: Overview,Cellular Processes;Human Diseases;Organismal Systems;Environmental Information Processing,IRF9
10398,ko04670//Leukocyte transendothelial migration;ko04022//cGMP-PKG signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04530//Tight junction;ko04510//Focal adhesion;ko04921//Oxytocin signaling pathway;ko04270//Vascular smooth muscle contraction;ko04024//cAMP signaling pathway,Immune system;Endocrine system;Signal transduction;Cellular community - eukaryotes;Cell motility;Circulatory system,Cellular Processes;Organismal Systems;Environmental Information Processing,MYL9
10411,ko04024//cAMP signaling pathway;ko04015//Rap1 signaling pathway;ko04726//Serotonergic synapse;ko04720//Long-term potentiation;ko04670//Leukocyte transendothelial migration;ko04261//Adrenergic signaling in cardiomyocytes;ko04072//Phospholipase D signaling pathway,Nervous system;Immune system;Signal transduction;Circulatory system,Environmental Information Processing;Organismal Systems,RAPGEF3
10750,ko05205//Proteoglycans in cancer;ko04150//mTOR signaling pathway;ko04072//Phospholipase D signaling pathway;ko05160//Hepatitis C;ko04910//Insulin signaling pathway;ko04151//PI3K-Akt signaling pathway;ko04540//Gap junction;ko04010//MAPK signaling pathway;ko05223//Non-small cell lung cancer;ko05220//Chronic myeloid leukemia;ko05225//Hepatocellular carcinoma;ko05200//Pathways in cancer;ko04380//Osteoclast differentiation;ko04912//GnRH signaling pathway;ko04013//MAPK signaling pathway - fly;ko01522//Endocrine resistance;ko04012//ErbB signaling pathway;ko04650//Natural killer cell mediated cytotoxicity;ko04722//Neurotrophin signaling pathway;ko04510//Focal adhesion;ko04320//Dorso-ventral axis formation;ko01521//EGFR tyrosine kinase inhibitor resistance;ko04660//T cell receptor signaling pathway;ko04550//Signaling pathways regulating pluripotency of stem cells;ko05211//Renal cell carcinoma;ko05213//Endometrial cancer;ko04917//Prolactin signaling pathway;ko05224//Breast cancer;ko05214//Glioma;ko04662//B cell receptor signaling pathway;ko05231//Choline metabolism in cancer;ko05203//Viral carcinogenesis;ko04664//Fc epsilon RI signaling pathway;ko05206//MicroRNAs in cancer;ko05165//Human papillomavirus infection;ko05215//Prostate cancer;ko05034//Alcoholism;ko04915//Estrogen signaling pathway;ko05226//Gastric cancer;ko04068//FoxO signaling pathway;ko04926//Relaxin signaling pathway;ko04062//Chemokine signaling pathway;ko05161//Hepatitis B;ko04630//Jak-STAT signaling pathway;ko05221//Acute myeloid leukemia;ko04014//Ras signaling pathway,Development;Nervous system;Signal transduction;Substance dependence;Infectious diseases: Viral;Cancers: Overview;Cancers: Specific types;Endocrine system;Drug resistance: Antineoplastic;Cellular community - eukaryotes;Immune system,Human Diseases;Environmental Information Processing;Organismal Systems;Cellular Processes,GRAP
10850,ko04060//Cytokine-cytokine receptor interaction;ko04062//Chemokine signaling pathway,Signaling molecules and interaction;Immune system,Environmental Information Processing;Organismal Systems,CCL27
109,ko04913//Ovarian steroidogenesis;ko04916//Melanogenesis;ko04270//Vascular smooth muscle contraction;ko05414//Dilated cardiomyopathy (DCM);ko04911//Insulin secretion;ko04022//cGMP-PKG signaling pathway;ko05166//HTLV-I infection;ko04211//Longevity regulating pathway;ko05200//Pathways in cancer;ko04972//Pancreatic secretion;ko04611//Platelet activation;ko04723//Retrograde endocannabinoid signaling;ko04925//Aldosterone synthesis and secretion;ko04970//Salivary secretion;ko05032//Morphine addiction;ko00230//Purine metabolism;ko04914//Progesterone-mediated oocyte maturation;ko04750//Inflammatory mediator regulation of TRP channels;ko05110//Vibrio cholerae infection;ko04015//Rap1 signaling pathway;ko04727//GABAergic synapse;ko04371//Apelin signaling pathway;ko04213//Longevity regulating pathway - multiple species;ko04072//Phospholipase D signaling pathway;ko04725//Cholinergic synapse;ko04062//Chemokine signaling pathway;ko04261//Adrenergic signaling in cardiomyocytes;ko04912//GnRH signaling pathway;ko04713//Circadian entrainment;ko04020//Calcium signaling pathway;ko04024//cAMP signaling pathway;ko04918//Thyroid hormone synthesis;ko04962//Vasopressin-regulated water reabsorption;ko04724//Glutamatergic synapse;ko04971//Gastric acid secretion;ko04926//Relaxin signaling pathway;ko01522//Endocrine resistance;ko04923//Regulation of lipolysis in adipocytes;ko04921//Oxytocin signaling pathway;ko04915//Estrogen signaling pathway;ko04740//Olfactory transduction;ko04976//Bile secretion;ko04114//Oocyte meiosis;ko04540//Gap junction,Nervous system;Digestive system;Cell growth and death;Nucleotide metabolism;Excretory system;Signal transduction;Infectious diseases: Bacterial;Immune system;Drug resistance: Antineoplastic;Endocrine system;Sensory system;Environmental adaptation;Cellular community - eukaryotes;Circulatory system;Substance dependence;Cancers: Overview;Aging;Cardiovascular diseases;Infectious diseases: Viral,Metabolism;Organismal Systems;Cellular Processes;Environmental Information Processing;Human Diseases,ADCY3
11035,ko04621//NOD-like receptor signaling pathway;ko04623//Cytosolic DNA-sensing pathway;ko04668//TNF signaling pathway;ko04217//Necroptosis,Signal transduction;Immune system;Cell growth and death,Cellular Processes;Organismal Systems;Environmental Information Processing,RIPK3
11069,ko04024//cAMP signaling pathway;ko04670//Leukocyte transendothelial migration;ko04015//Rap1 signaling pathway;ko04072//Phospholipase D signaling pathway;ko04911//Insulin secretion;ko04261//Adrenergic signaling in cardiomyocytes,Endocrine system;Immune system;Signal transduction;Circulatory system,Organismal Systems;Environmental Information Processing,RAPGEF4
