#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SERPINE1	PLAT	1842959	1842802	9606.ENSP00000223095	9606.ENSP00000220809	0.074	0	0	0	0.055	0.884	0.900	0.966	0.999
PLAU	SERPINE1	1855748	1842959	9606.ENSP00000361850	9606.ENSP00000223095	0.074	0	0	0	0.104	0.884	0.900	0.921	0.999
CXCR4	CXCL12	1859216	1858332	9606.ENSP00000386884	9606.ENSP00000379140	0	0	0	0	0	0.528	0.900	0.983	0.999
VEGFC	KDR	1846658	1845437	9606.ENSP00000280193	9606.ENSP00000263923	0	0	0	0	0.042	0.899	0.900	0.957	0.999
CFH	C3	1854590	1843781	9606.ENSP00000356399	9606.ENSP00000245907	0	0	0	0	0.116	0.866	0.900	0.898	0.998
CD46	C3	1849660	1843781	9606.ENSP00000313875	9606.ENSP00000245907	0	0	0	0	0	0.866	0.900	0.895	0.998
COL4A1	COL4A2	1856385	1854011	9606.ENSP00000364979	9606.ENSP00000353654	0	0	0	0.772	0.842	0.880	0.900	0.864	0.998
C1QC	C1QB	1856155	1849670	9606.ENSP00000363768	9606.ENSP00000313967	0	0	0	0.920	0.904	0.866	0.900	0.814	0.998
C1QA	C1QB	1856156	1849670	9606.ENSP00000363773	9606.ENSP00000313967	0	0	0	0.862	0.917	0.866	0.900	0.738	0.998
C1QA	C1QC	1856156	1856155	9606.ENSP00000363773	9606.ENSP00000363768	0	0	0	0.822	0.917	0.866	0.900	0.743	0.998
CDH5	KDR	1852772	1845437	9606.ENSP00000344115	9606.ENSP00000263923	0	0	0	0	0.132	0.407	0.900	0.916	0.995
ATP1B1	ATP1A1	1854664	1847591	9606.ENSP00000356789	9606.ENSP00000295598	0	0	0	0	0.100	0.878	0.900	0.558	0.994
PIK3CB	PIK3R1	1847156	1846375	9606.ENSP00000289153	9606.ENSP00000274335	0	0	0	0	0.100	0.839	0.900	0.621	0.993
PIK3CB	RAC2	1847156	1843949	9606.ENSP00000289153	9606.ENSP00000249071	0	0	0	0	0.053	0.909	0.800	0.557	0.991
COL1A2	COL1A1	1847845	1843064	9606.ENSP00000297268	9606.ENSP00000225964	0	0	0	0.930	0.871	0.360	0.900	0.861	0.991
CFB	C3	1861233	1843781	9606.ENSP00000416561	9606.ENSP00000245907	0	0	0	0	0.242	0.368	0.900	0.846	0.991
CXCR4	CCL5	1859216	1847396	9606.ENSP00000386884	9606.ENSP00000293272	0	0	0	0	0	0	0.900	0.909	0.990
CXCL12	CXCR7	1858332	1846285	9606.ENSP00000379140	9606.ENSP00000272928	0	0	0	0	0	0.145	0.900	0.899	0.990
COL3A1	COL1A1	1848637	1843064	9606.ENSP00000304408	9606.ENSP00000225964	0	0	0	0.614	0.869	0	0.900	0.823	0.990
COL3A1	COL1A2	1848637	1847845	9606.ENSP00000304408	9606.ENSP00000297268	0	0	0	0.886	0.875	0	0.900	0.781	0.988
CXCR4	CCL3	1859216	1843010	9606.ENSP00000386884	9606.ENSP00000225245	0	0	0	0	0	0.821	0.800	0.679	0.987
