ï..Gene.ID	FK.FPKM	HN.FPKM	log2.HN.FK.	Qvalue.FK.vs.HN.	Pvalue.FK.vs.HN.	Other.Gene.ID	Transcripts	Gene.Type	Transcripts.Number	Start	End	Chr	Strand....	Length	Max.Length.of.Transcript	FK2.FPKM	FK4.FPKM	FK5.FPKM	FK6.FPKM	FK7.FPKM	HN1.FPKM	HN2.FPKM	HN3.FPKM	HN4.FPKM	HN5.FPKM
100	14.612	1.388	-3.79433051025671	8.61692261544407e-293	8.05733875622462e-293	ADA	NM_000022.3,NM_001322051.1,NM_001322050.1,BGI_novel_T022755,BGI_novel_T022756	Known_gene	5	44619519	44651758	chr20	-	32240	1558	11.52	2.93	30.29	20.28	8.04	1.1	3.29	1.74	0.81	0
100127983	11.064	2.786	-2.07507460636331	7.98368876028302e-76	1.74774518044138e-75	C8orf88	NM_001190972.1,XM_017012939.1	Known_gene	2	90958471	90985257	chr8	-	26787	1053	15	5.44	7.98	12.08	14.82	0.46	3.8	2.88	2.5	4.29
100130733	28.534	5.428	-2.44544403427391	0	0	LRRC70	NM_181506.4	Known_gene	1	62578735	62581448	chr5	+	2714	2249	23.57	17.97	34.51	24.77	41.85	0.59	8.41	5.49	0.93	11.72
10019	9.05	1.85	-2.26899272054483	0	0	SH2B3	NM_001291424.1,XM_005253819.4,XM_011537719.2,XM_011537720.2,XM_011537721.2,BGI_novel_T009382,NM_005475.2,XM_006719180.3,XM_005253818.4,BGI_novel_T009381	Known_gene	10	111405106	111451761	chr12	+	46656	7018	15.57	0.45	9.34	8.99	10.9	2.66	2.78	2.33	1.06	0.42
100271927	6.892	1.324	-2.51647598946073	3.70819662248099e-151	5.38513536250299e-151	RASA4B	XM_017011626.1,NM_001277335.1,XM_017011627.1,XM_005250084.2,BGI_novel_T032989,XM_011515690.1	Known_gene	6	102483139	102517777	chr7	-	34639	3041	3.62	2.33	14.73	1.76	12.02	0.59	1.53	1.52	0.68	2.3
100288332	7.45	1.788	-2.11888412162492	2.06051379343447e-57	5.17966606827481e-57	NPIPA5	XM_011522337.1,XM_011522329.2,BGI_novel_T013524,XM_011522336.2,NM_001277325.1	Known_gene	5	15363624	15381468	chr16	-	17845	1499	8.96	5.41	1.38	8.35	13.15	4.06	1.16	2.18	0.63	0.91
100289279	4.78	1.484	-2.12609110281124	1.7942490817921e-121	2.95541970181737e-121	LOC100289279	BGI_novel_T035431,XM_017015380.1,BGI_novel_T035430,XM_011545672.2,XM_011545673.2,XM_011545674.2	Known_gene	6	61330560	61461349	chr9	+	130790	4354	5.34	4.78	3.82	3.83	6.13	0.95	1.2	1.3	1.52	2.45
1003	31.736	7.688	-2.12642187601987	0	0	CDH5	BGI_novel_T014091,XM_011522801.1,NM_001795.4,BGI_novel_T014090	Known_gene	4	66366607	66404786	chr16	+	38180	4519	25.85	3.74	72.71	10.7	45.68	8.33	6.41	8.64	13.43	1.63
100506144	158.07	33.008	-2.35166391134589	0	0	TMEM35B	NM_001195156.1	Known_gene	1	34981526	34985347	chr1	-	3822	925	210.1	46.56	148.68	126.12	258.89	27.35	41.67	19.59	31.33	45.1
100526693	261.29	19.566	-3.69472883856045	0	0	ARPC4-TTLL3	BGI_novel_T024445,NM_001198793.1,BGI_novel_T024444,BGI_novel_T024446	Known_gene	4	9792495	9836356	chr3	+	43862	3987	93.81	538.15	106.28	441.99	126.22	9.32	25.07	20.37	7.93	35.14
